DH-336-RS,4,07-Oct-2015 10:03,958.41
DH-345-RS,1,07-Oct-2015 10:36,869.63
DH-345-RS,2,07-Oct-2015 10:36,911.10
DH-345-RS,3,07-Oct-2015 10:36,921.64
DH-345-RS,4,07-Oct-2015 10:36,946.35
DH-347-RS,1,07-Oct-2015 10:38,903.42
DH-347-RS,2,07-Oct-2015 10:38,903.27
DH-347-RS,3,07-Oct-2015 10:38,924.04
DH-347-RS,4,07-Oct-2015 10:38,958.83
DH-351-RS,1,09-Oct-2015 10:14,955.95
DH-351-RS,2,09-Oct-2015 10:14,954.03
DH-355-RS,1,07-Oct-2015 09:58,853.31
DH-355-RS,2,07-Oct-2015 09:58,886.18
DH-355-RS,3,07-Oct-2015 09:58,896.06
DH-355-RS,4,07-Oct-2015 09:58,942.33
DH-355-RS,5,07-Oct-2015 09:58,956.28
DH-359-RS,1,07-Oct-2015 10:01,854.94
DH-359-RS,2,07-Oct-2015 10:01,890.39
DH-359-RS,3,07-Oct-2015 10:01,943.18
DH-359-RS,4,07-Oct-2015 10:01,956.71
DH-367-RS,1,13-Oct-2015 10:52,950.46
DH-367-RS,2,13-Oct-2015 10:52,955.24
DH-367-RS,3,13-Oct-2015 10:52,955.13
DH-368-RS,1,13-Oct-2015 10:17,832.19
DH-368-RS,2,13-Oct-2015 10:17,908.55
DH-368-RS,3,13-Oct-2015 10:17,939.60
DH-373-RS,1,07-Oct-2015 09:45,908.15
DH-373-RS,2,07-Oct-2015 09:45,931.14
DH-373-RS,3,07-Oct-2015 09:45,924.50
DH-373-RS,4,07-Oct-2015 09:45,957.93
DH-373-RS,5,07-Oct-2015 09:45,959.78
DH-375-RS,1,13-Oct-2015 11:06,956.74
DH-375-RS,2,13-Oct-2015 11:06,956.63
DH-375-RS,3,13-Oct-2015 11:06,956.42
DH-379-RS,1,13-Oct-2015 09:44,836.89
DH-379-RS,2,13-Oct-2015 09:44,906.67
DH-379-RS,3,13-Oct-2015 09:44,957.05
DH-380-RS,1,07-Oct-2015 10:30,861.06
DH-380-RS,2,07-Oct-2015 10:30,897.55
DH-380-RS,3,07-Oct-2015 10:30,948.07
DH-380-RS,4,07-Oct-2015 10:30,976.37
DH-382-RS,1,13-Oct-2015 09:57,837.82
DH-382-RS,2,13-Oct-2015 09:57,924.50
DH-382-RS,3,13-Oct-2015 09:57,954.19
DH-395-RS,1,13-Oct-2015 09:57,838.21
DH-395-RS,2,13-Oct-2015 09:57,957.82
DH-395-RS,3,13-Oct-2015 09:57,957.72
DH-400-RS,1,07-Oct-2015 10:32,878.95
DH-400-RS,2,07-Oct-2015 10:32,882.35
DH-400-RS,3,07-Oct-2015 10:32,939.48
DH-400-RS,4,07-Oct-2015 10:32,960.21
DH-437-RS,1,08-Oct-2015 10:26,921.54
DH-437-RS,2,08-Oct-2015 10:26,921.54
DH-437-RS,3,08-Oct-2015 10:26,951.58
DH-457-RS,1,06-Oct-2015 13:35,844.43
DH-457-RS,2,06-Oct-2015 13:35,934.83
DH-460-RS,1,06-Oct-2015 13:28,845.29
DH-460-RS,2,06-Oct-2015 13:28,941.21
DH-463-RS,1,08-Oct-2015 10:24,890.52
DH-463-RS,2,08-Oct-2015 10:24,934.77
DH-467-RS,1,08-Oct-2015 10:22,887.31
DH-467-RS,2,08-Oct-2015 10:22,892.93
DH-467-RS,3,08-Oct-2015 10:22,956.58
DH-468-RS,1,08-Oct-2015 11:02,828.67
DH-468-RS,2,08-Oct-2015 11:02,921.91
DH-472-RS,1,06-Oct-2015 13:21,963.48
DH-472-RS,2,06-Oct-2015 13:21,966.37
DH-479-RS,1,08-Oct-2015 10:35,871.67
DH-479-RS,2,08-Oct-2015 10:35,954.87
DH-479-RS,3,08-Oct-2015 10:35,977.60
DH-483-RS,1,08-Oct-2015 11:09,876.19
DH-483-RS,2,08-Oct-2015 11:09,920.55
DH-487-RS,1,06-Oct-2015 13:37,844.65
DH-487-RS,2,06-Oct-2015 13:37,928.65
DH-489-RS,1,09-Oct-2015 10:18,957.04
DH-494-RS,1,08-Oct-2015 11:04,849.09
DH-494-RS,2,08-Oct-2015 11:04,921.27
DH-494-RS,3,08-Oct-2015 11:04,955.09
DH-495-RS,1,09-Oct-2015 10:20,970.52
DH-501-RS,1,13-Oct-2015 10:39,903.40
DH-501-RS,2,13-Oct-2015 10:39,935.61
DH-502-RS,1,09-Oct-2015 10:32,962.30
DH-502-RS,2,09-Oct-2015 10:32,962.40
DH-505-RS,1,13-Oct-2015 09:23,953.40
DH-505-RS,2,13-Oct-2015 09:23,956.08
DH-520-RS,1,08-Oct-2015 11:07,922.90
DH-520-RS,2,08-Oct-2015 11:07,922.90
DH-527-RS,1,26-May-1900 14:09,844.87
DH-527-RS,2,26-May-1900 14:09,952.94
DH-530-RS,1,09-Oct-2015 10:29,957.52
DH-530-RS,2,09-Oct-2015 10:29,957.26
DH-532-RS,1,09-Oct-2015 10:53,959.21
DH-532-RS,2,09-Oct-2015 10:53,961.37
DH-533-RS,1,09-Oct-2015 10:51,946.56
DH-533-RS,2,09-Oct-2015 10:51,956.54
DH-535-RS,1,09-Oct-2015 10:45,933.43
DH-535-RS,2,09-Oct-2015 10:45,962.09
DH-536-RS,1,09-Oct-2015 10:43,933.02
DH-536-RS,2,09-Oct-2015 10:43,933.02
DH-536-RS,3,09-Oct-2015 10:43,927.06
DH-539-RS,1,13-Oct-2015 10:55,961.56
DH-539-RS,2,13-Oct-2015 10:55,953.79
DH-539-RS,3,13-Oct-2015 10:55,956.39
DH-540-RS,1,13-Oct-2015 10:50,894.96
DH-540-RS,2,13-Oct-2015 10:50,933.41
DH-543-RS,1,13-Oct-2015 10:48,862.94
DH-543-RS,2,13-Oct-2015 10:48,862.64
DH-545-RS,1,13-Oct-2015 10:15,823.19
DH-545-RS,2,13-Oct-2015 10:15,889.96
DH-545-RS,3,13-Oct-2015 10:15,948.47
DH-547-RS,1,13-Oct-2015 10:07,833.06
DH-547-RS,2,13-Oct-2015 10:07,818.03
