GOESDEC,ACTIVE, RTCNAME, S_OFV, S_ONV, S_NV, S_TTMODE, S_RTFV, S_OTC, S_TBV, S_DTFMT, S_DTSIZE, S_BID, S_BIDCNT, R_OFV, R_ONV, R_NV, R_TTMODE, R_RTFV, R_OTC, R_TBV, R_DTFMT, R_DTSIZE, R_BID, R_BIDCNT, EDITDATE, OWNER,                                                                                                                                                                                       
ARBUCK  PC,1,,10,6,8,R,-2,0,-60,V,5,PC,2,0,0,0,I,0,0,0,,0,,0,07-JUL-2004 13:44:05.64,LDEAVILA,                                                                                                                                                                                                                                                                                                                  
ARGY    BV,0,,40,0,1,R,-6,0,-15,B,1,,0,0,0,0,I,0,0,0,,0,,0,02-AUG-2013 13:02:37.90,RMICHEL,                                                                                                                                                                                                                                                                                                                     
ARGY    CH,1,,4,3,12,R,-6,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,02-AUG-2013 13:23:04.57,CSCHWIEGER,                                                                                                                                                                                                                                                                                                                  
ARKAVOCOGH,1,,4,3,8,R,-20,-1,-30,B,3,,0,2,3,3,I,0,-1,-15,T,3,,0,18-JUN-2009 10:25:09.93,RMICHEL,                                                                                                                                                                                                                                                                                                                
ARKAVOCOOB,1,,52,3,8,R,-20,0,-30,B,3,,0,0,0,0,I,0,0,0,,0,,0,18-JUN-2009 10:28:10.54,RMICHEL,                                                                                                                                                                                                                                                                                                                    
ARKCANCOGH,1,,4,3,16,R,-8,0,-15,B,3,,0,2,3,0,I,0,-1,-15,T,3,,0,25-OCT-2011 16:25:22.99,RMICHEL,                                                                                                                                                                                                                                                                                                                 
ARKGRNCOGH,1,,4,3,16,R,-9,0,-15,T,3,,0,2,3,3,I,0,-1,-15,T,3,,0,09-APR-2007 13:00:11.73,CLORA,                                                                                                                                                                                                                                                                                                                   
ARKGRNCOPC,1,,100,3,16,R,-8,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,09-APR-2007 10:47:47.07,CLORA,                                                                                                                                                                                                                                                                                                                     
ARKNATCOGH,1,,4,3,8,R,-12,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,22-SEP-2010 15:55:59.12,RMICHEL,                                                                                                                                                                                                                                                                                                                     
ARKNEPCOGH,1,,4,3,16,R,-8,0,-15,B,3,,0,2,3,0,I,0,-1,-15,B,3,,0,27-JAN-2014 09:57:06.11,RMICHEL,                                                                                                                                                                                                                                                                                                                 
ARKNEPCOOB,1,,100,3,16,R,-8,0,-15,B,3,,0,5,6,0,I,0,-4,-15,B,3,,0,08-JAN-2014 14:59:10.94,RMICHEL,                                                                                                                                                                                                                                                                                                               
