 AGA         MX      : 2010-2018
 AGA         PC      : 1998-2018
 AGA         PP      : 1998-2018
 AGA         PU      : 1998-2018
 AGA         QD      : 1999-2018
 AGA         QJ      : 1996-2018
 AGA         QRD     : 1999-2018
 AGA         QSD     : 1999-2018
 AGA         WI      : 1999-2014
 AGA         WK      : 1999-2014
 AGA         WZ      : 1999-2014
 AGA         XN      : 1996-2002
 AGA         XX      : 1996-2002
 AGKO        ET      : 2000-2017
 AGKO        ETOS    : 2003-2017
 AGKO        ETRS    : 2003-2017
 AGKO        FB      : 2000-2009
 AGKO        FB2     : 2000-2009
 AGKO        MM      : 2000-2017
 AGKO        MN      : 2000-2017
 AGKO        MX      : 2000-2017
 AGKO        PC      : 2000-2017
 AGKO        PP      : 2000-2017
 AGKO        PU      : 2001-2017
 AGKO        SR      : 2000-2017
 AGKO        TA      : 2000-2017
 AGKO        TG      : 2000-2017
 AGKO        UA      : 2000-2017
 AGKO        UD      : 2000-2017
 AGKO        WG      : 2000-2017
 AGKO        WM      : 2000-2009
 AGKO        WN      : 2000-2009
 AGKO        WR      : 2000-2017
 AGKO        WY      : 2000-2009
 AGKO        YM      : 2000-2017
 AGNO        GD      : 2001-2009, 8110
 AGNO        HJ      : 2001-2009
 AGNO        QD      : 2000-2009
 AGNO        WM      : 2001-2009
 AGNO        WN      : 2001-2009
 AGNO        WY      : 2001-2009
 AGTEST      BN      : 2004-2006, 2009-2010
 AGTEST      BP      : 2004-2006, 2009-2010
 AGTEST      BX      : 2004-2006, 2009-2010
 AGTEST      FB      : 2006
 AGTEST      FB2     : 2006
 AGTEST      MM      : 2004-2014
 AGTEST      MN      : 2004-2015
 AGTEST      MX      : 2004-2015
 AGTEST      PA      : 2007-2008
 AGTEST      PC      : 2004-2014
 AGTEST      PP      : 2004-2014
 AGTEST      SP      : 2007
 AGTEST      SR      : 2004-2015
 AGTEST      SR2     : 2006-2007
 AGTEST      TA      : 2004-2014
 AGTEST      TG      : 2010-2011
 AGTEST      UA      : 2004-2015
 AGTEST      UD      : 2004-2015
 AGTEST      UDC     : 2012
 AGTEST      WG      : 2004-2014
 AGTEST      WM      : 2006
 AGTEST      WN      : 2006
 AGTEST      WR      : 2004-2015
 AGTEST      WY      : 2006
 AGTEST      XB      : 2006, 2009, 2012
 AGTEST      XC      : 2004, 2006-2007, 2009, 2012, 2014
 AGTEST      XF      : 2006, 2009, 2012
 AGTEST      XG      : 2004, 2006-2007, 2009, 2012, 2014
 AGTEST      XN      : 2007-2008
 AGTEST      XX      : 2007-2008
 AGTEST      YA      : 2006-2007, 2009, 2012
 AGTEST      YB      : 2006-2007, 2009, 2012
 AGTEST      YC      : 2007
 AGTEST      YD      : 2007
 AGTEST      YL      : 2006, 2009, 2012
 AGTEST      YM      : 2011
 AGTEST      YW      : 2004, 2006-2007, 2009, 2012, 2014
 AGTEST      YY      : 2007
 AGTEST      Z1      : 2006, 2009, 2012
 AGTEST      Z2      : 2009, 2012
 AGTEST      Z3      : 2009, 2012
 AGTEST      ZCM     : 2004, 2006-2007
 AGTEST      ZCN     : 2004, 2006-2007
 AGTEST      ZCX     : 2004, 2006-2007
 AGTEST      ZK      : 2004, 2006-2007, 2009, 2012, 2014
 AGTEST      ZL      : 2004, 2006-2007, 2009, 2012, 2014
 AGTEST      ZM      : 2004, 2006-2007, 2009, 2012, 2014
 AGWA        QD      : 1983-1988
 AGWA        QU      : 1983-2018
