GOESDEC,ACTIVE, RTCNAME, S_OFV, S_ONV, S_NV, S_TTMODE, S_RTFV, S_OTC, S_TBV, S_DTFMT, S_DTSIZE, S_BID, S_BIDCNT, R_OFV, R_ONV, R_NV, R_TTMODE, R_RTFV, R_OTC, R_TBV, R_DTFMT, R_DTSIZE, R_BID, R_BIDCNT, EDITDATE, OWNER,                                                                                                                                                                                       
ALMW    ST4,1,,76,3,4,R,-1,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,10-NOV-2008 14:39:13.98,KTARBET,                                                                                                                                                                                                                                                                                                                    
ALMW    ST40,1,,112,3,4,R,-1,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,10-NOV-2008 14:40:23.55,KTARBET,                                                                                                                                                                                                                                                                                                                  
ALMW    ST8,1,,88,3,4,R,-1,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,10-NOV-2008 14:39:43.82,KTARBET,                                                                                                                                                                                                                                                                                                                    
ALNO    CH,1,,4,3,4,R,-8,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,02-APR-2008 15:30:56.96,KTARBET,                                                                                                                                                                                                                                                                                                                      
ALPY    GH,1,,4,3,8,R,-3,0,-15,T,3,,0,2,3,3,I,0,-1,-15,T,3,D,1,04-NOV-2004 17:50:47.00,WRICHARD,                                                                                                                                                                                                                                                                                                                
ALPY    WF,1,,28,3,8,R,-3,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,04-NOV-2004 17:52:01.64,WRICHARD,                                                                                                                                                                                                                                                                                                                    
ALTO    CH,1,,4,3,4,R,-15,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,26-MAR-2008 11:04:02.62,KTARBET,                                                                                                                                                                                                                                                                                                                     
ALTY    OB,1,,4,3,4,R,-10,0,-15,T,3,,0,3,3,3,I,0,-1,-15,T,3,$A,2,30-OCT-2008 11:03:22.59,JHAMEL,                                                                                                                                                                                                                                                                                                                
ALTY    PC,1,,16,3,4,R,-10,0,-15,T,3,,0,3,3,3,I,0,-1,-15,T,3,$B,2,30-OCT-2008 11:03:42.48,JHAMEL,                                                                                                                                                                                                                                                                                                               
AMF     FB,1,,4,3,4,R,-17,0,-15,T,3,,0,2,3,3,I,0,-1,-15,T,3,D,1,08-APR-2016 10:38:39.29,CALLEN,                                                                                                                                                                                                                                                                                                                 
AMF     OB,1,,16,3,4,R,-17,0,-15,T,3,,0,2,6,3,I,0,-1,-15,B,3,E,1,08-APR-2016 10:39:12.40,CALLEN,                                                                                                                                                                                                                                                                                                                
AMF     PC,1,,28,3,4,R,-17,0,-15,T,3,,0,5,6,3,I,0,-4,-15,B,3,E,1,08-APR-2016 10:39:38.92,CALLEN,                                                                                                                                                                                                                                                                                                                
AMFI    GH,1,,4,3,8,R,-14,0,-15,T,3,,0,3,3,3,I,0,-1,-15,T,3,$J,2,23-APR-2007 15:57:10.13,JDOTY,                                                                                                                                                                                                                                                                                                                 
AMFI    OB,1,,28,3,8,R,-14,0,-15,T,3,,0,2,6,3,I,0,-1,-15,B,3,xxx,3,23-APR-2007 15:57:23.88,JDOTY,                                                                                                                                                                                                                                                                                                               
AMFI    WF,1,,52,3,8,R,-14,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,23-APR-2007 15:57:38.88,JDOTY,                                                                                                                                                                                                                                                                                                                      
ANAW    GH,1,,4,3,8,R,-7,0,-15,T,3,,0,2,3,3,I,0,-1,-15,B,3,D,1,02-MAR-2007 12:10:17.56,JDOTY,                                                                                                                                                                                                                                                                                                                   
ANAW    WC,0,,28,3,8,R,-11,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,08-APR-2013 14:09:04.66,KTARBET,                                                                                                                                                                                                                                                                                                                    
ANCI    CH,1,CH_WEIR,1,3,4,R,0,0,-15,B,3,,0,2,3,3,I,0,-1,-15,B,3,D,1,03-OCT-2008 14:43:58.84,CALLEN,                                                                                                                                                                                                                                                                                                            
AND     FB,1,,4,3,4,R,-14,0,-15,T,3,,0,2,3,3,I,0,-1,-15,B,3,J,1,03-APR-2013 14:56:18.41,CALLEN,                                                                                                                                                                                                                                                                                                                 
AND     GH,1,,16,3,4,R,-14,0,-15,T,3,,0,2,3,3,I,0,-1,-15,B,3,c,1,03-APR-2013 14:56:43.10,CALLEN,                                                                                                                                                                                                                                                                                                                
AND     OB,1,,28,3,4,R,-14,0,-15,T,3,,0,2,6,3,I,0,-1,-15,B,3,E,1,03-APR-2013 14:57:32.13,CALLEN,                                                                                                                                                                                                                                                                                                                
AND     PC,1,,40,3,4,R,-14,0,-15,T,3,,0,5,6,3,I,0,-4,-15,B,3,A,1,03-APR-2013 14:58:04.89,CALLEN,                                                                                                                                                                                                                                                                                                                
AND     TV,1,,52,3,4,R,-14,0,-15,T,3,,0,5,6,3,I,0,-4,-15,B,3,K,1,03-APR-2013 14:58:37.30,CALLEN,                                                                                                                                                                                                                                                                                                                
AND     WD,1,,88,3,4,R,-14,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,16-OCT-2015 10:56:46.80,WRICHARD,                                                                                                                                                                                                                                                                                                                   
AND     WF,1,,64,3,4,R,-14,0,-15,T,3,,0,5,6,3,I,0,-4,-15,B,3,K,1,03-APR-2013 14:59:21.58,CALLEN,                                                                                                                                                                                                                                                                                                                
AND     WF2,1,,76,3,4,R,-14,0,-15,T,3,,0,5,6,3,I,0,-4,-15,B,3,K,1,03-APR-2013 15:00:19.10,CALLEN,                                                                                                                                                                                                                                                                                                               
AND     WS,1,,100,3,4,R,-14,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,16-OCT-2015 10:57:05.76,WRICHARD,                                                                                                                                                                                                                                                                                                                  
ANDI    GH,1,,4,3,4,R,-15,0,-15,T,3,,0,2,3,3,I,0,-1,-15,B,3,c,1,21-JUL-2015 08:16:33.29,KTARBET,                                                                                                                                                                                                                                                                                                                
ANNO    CO,1,,7,9,2,R,-57,0,30,X,3,,0,0,0,0,I,0,0,0,,0,,0,17-OCT-2002 14:15:47.07,JDOTY,                                                                                                                                                                                                                                                                                                                        
ANNO    GH,1,,1,9,2,R,-57,0,30,X,3,,0,0,0,0,I,0,0,0,,0,,0,17-OCT-2002 07:23:12.53,JDOTY,                                                                                                                                                                                                                                                                                                                        
ANNO    WC,1,,4,9,2,R,-57,0,30,X,3,,0,0,0,0,I,0,0,0,,0,,0,17-OCT-2002 07:23:21.42,JDOTY,                                                                                                                                                                                                                                                                                                                        
ANTI    GH,1,,4,3,8,R,-7,0,-15,T,3,,0,3,3,3,I,0,-1,-15,T,3,$J,2,29-JUL-2008 16:32:56.06,WRICHARD,                                                                                                                                                                                                                                                                                                               
ANTO    CH,1,,10,9,4,R,-5,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,30-JUL-2014 10:41:27.17,KTARBET,                                                                                                                                                                                                                                                                                                                     
ANTO    GH,1,,4,9,4,R,-5,0,-15,X,3,,0,0,0,0,I,0,0,0,,0,,0,09-MAR-2012 11:14:41.07,KTARBET,                                                                                                                                                                                                                                                                                                                      
ANTO    GZ,0,,7,21,4,R,-5,0,-15,X,3,,0,0,0,0,I,0,0,0,,0,,0,09-MAR-2012 11:15:16.24,KTARBET,                                                                                                                                                                                                                                                                                                                     
ANTO    Q,0,,4,21,4,R,-5,0,-15,X,3,,0,0,0,0,I,0,0,0,,0,,0,09-MAR-2012 11:15:10.86,KTARBET,                                                                                                                                                                                                                                                                                                                      
ANTO    QC,0,,16,21,4,R,-5,0,-15,X,3,,0,0,0,0,I,0,0,0,,0,,0,09-MAR-2012 11:15:04.85,KTARBET,                                                                                                                                                                                                                                                                                                                    
ANTO    QZ,0,,10,21,4,R,-5,0,-15,X,3,,0,0,0,0,I,0,0,0,,0,,0,09-MAR-2012 11:14:59.25,KTARBET,                                                                                                                                                                                                                                                                                                                    
ANTO    WF,1,,7,9,4,R,-5,0,-15,X,3,,0,0,0,0,I,0,0,0,,0,,0,09-MAR-2012 11:14:52.29,KTARBET,                                                                                                                                                                                                                                                                                                                      
APP     FB,0,,6,3,16,R,-7,0,15,B,3,,0,2,3,3,I,0,-1,15,B,3,2,1,07-AUG-2006 15:33:55.24,JDOTY,                                                                                                                                                                                                                                                                                                                    
APPO    GH,1,,7,6,8,R,-18,0,-15,T,3,,0,1,0,1,R,0,-1,-30,T,3,A,1,29-JUN-2010 14:17:43.52,KTARBET,                                                                                                                                                                                                                                                                                                                
APPO    WC,1,,4,6,8,R,-18,0,-15,T,3,,0,1,3,1,I,0,0,0,B,3,,0,29-JUN-2010 14:16:58.47,KTARBET,                                                                                                                                                                                                                                                                                                                    
APRO    GH,0,,7,6,8,R,-6,0,-15,B,3,,0,1,0,1,I,0,-1,0,T,3,A,1,03-NOV-2010 15:42:21.68,KTARBET,                                                                                                                                                                                                                                                                                                                   
APRO    WC,0,,4,6,8,R,-6,0,-15,T,3,,0,0,0,32,I,0,0,0,,32,,0,08-APR-2013 13:40:22.71,KTARBET,                                                                                                                                                                                                                                                                                                                    
ARCI    GH,1,,4,3,8,R,-8,0,-15,T,3,,0,3,3,3,I,0,-1,-15,B,3,BD,2,21-SEP-2006 08:26:55.14,JDOTY,                                                                                                                                                                                                                                                                                                                  
ARDB    FB,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:46:54.64,HYDROMET,                                                                                                                                                                                                                                                                                                                     
ARDB    ID,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:46:54.64,HYDROMET,                                                                                                                                                                                                                                                                                                                     
ARDB    QD,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:46:54.64,HYDROMET,                                                                                                                                                                                                                                                                                                                     
ARK     EH,0,,52,3,4,R,-2,0,-15,B,3,,0,8,9,3,I,0,-7,-15,B,3,xxx,3,07-MAY-2007 10:42:41.03,JDOTY,                                                                                                                                                                                                                                                                                                                
ARK     FB,1,,4,3,4,R,-2,0,-15,T,3,J,0,2,3,3,I,0,-1,-15,T,3,,0,19-JAN-2012 13:42:42.14,KTARBET,                                                                                                                                                                                                                                                                                                                 
ARK     OB,1,,16,3,4,R,-2,0,-15,T,3,,0,11,3,3,I,0,-10,-15,T,3,,0,19-JAN-2012 13:43:14.75,KTARBET,                                                                                                                                                                                                                                                                                                               
