sitename,tmstp,gv1,gs1,gv2,gs2,gv3,gs3,gv4,gs4,gv5,gs5,gv6,gs6,lv1,ls1,lv2,ls2,lv3,ls3,lv4,ls4,lv5,ls5,lv6,ls6,sv,ss
'SITE11','2018-01-02 09:05:52.283',4.169869422912598,2048,5.533681869506836,2048,2.181422233581543,1024,0.0,1024,0.0,1024,0.0,1024,1278.9344482421875,0,1278.3839111328125,0,1293.8660888671875,0,0.0,0,0.0,0,0.0,0,0,0
'SITE12','2018-01-02 09:05:53.724',4.491452217102051,2304,1.418593406677246,2304,0.0,1024,0.0,1024,0.0,1024,0.0,1024,1273.681640625,0,13.943599700927734,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0
'SITE13','2018-01-02 09:05:55.367',2.2683944702148438,2048,1.917703628540039,2048,7.316925048828125,2048,2.5262322425842285,2048,0.0,1024,0.0,1024,1288.666259765625,0,1283.534423828125,0,1280.8404541015625,0,0.0,0,0.0,0,0.0,0,0,0
'SITE14','2018-01-02 09:05:56.841',4.070837020874023,2048,4.227618217468262,2048,4.223471641540527,2048,4.331944465637207,2048,4.70267391204834,2048,0.0,1024,1284.4825439453125,0,1280.158935546875,0,1273.601806640625,0,0.18186718225479126,0,3.8704347610473633,0,0.0,0,0,0
'SITE15','2018-01-02 09:05:58.289',0.437835693359375,2048,0.0,1024,0.0,1024,0.0,1024,0.0,1024,0.0,1024,1282.7437744140625,0,1273.9302978515625,0,1272.2633056640625,0,2075.37109375,0,0.0,0,0.0,0,0,0
'SITE16','2018-01-02 09:05:59.733',0.7938647270202637,1280,0.022417306900024414,1280,0.0,1024,0.0,1024,0.0,1024,0.0,1024,1210.5350341796875,0,0.2930184602737427,0,1.1563301086425781E-5,0,0.0,0,0.0,0,0.0,0,0,0
