"TOACI1","WRDO","Min15"
"TMSTAMP","RECNBR","BV","OB","OBM","OBX","OBN","TU","TUX","TUN","EA","TP","WS","WSH","WD","WDS","WG","PC","SQ","UI","SI","ETo","ETr","SW","SV","LW","AU"
"2014-10-07 23:15:00",24604,12.66,52.27,46.69,52.27,41.88,46.58,56.22,35.27,0.471,26.98,2.161,3.426,342.6,76.79,5.042,7.994,4307,5058,0.004,0.02765804,0.03848283,53.38,52.91,306.7,39.21
"2014-10-07 23:30:00",24605,12.66,53.31,53.55,54.95,51.6,32.78,35.3,30.64,0.454,24.99,1.728,2.098,246.3,8.9,3.726,7.995,4307,5059,0.006,0.02688353,0.04070953,53.26,52.91,611.4,39.26
"2014-10-07 23:45:00",24606,12.66,48.94,49.5,53.25,46.88,38.58,42.53,32.57,0.457,25.24,0.56,0.947,65.29,69.98,3.507,7.995,4307,5059,0.009,0.009533699,0.01591504,53.14,52.91,439.8,39.56
"2014-10-08 00:00:00",24607,12.65,51.14,49.42,51.14,48.22,37.57,40.07,35.1,0.449,24.6,1.367,0.885,220.5,43.33,3.726,7.995,4307,5059,0.009,0.008819036,0.01485418,53.03,52.91,104.3,38.52
