"TOACI1","WRDO","Min15"
"TMSTAMP","RECNBR","BV","OB","OBM","OBX","OBN","TU","TUX","TUN","EA","TP","WS","WSH","WD","WDS","WG","PC","SQ","UI","SI","ETo","ETr","SW","SV","LW","AU"
"2014-10-06 14:15:00",24472,13.84,81.5,81.2,82,80.1,16.74,18.21,15.51,0.588,31.91,2.36,2.716,143.1,58.02,6.138,7.993,3793,4959,53.94,0.2006742,0.2727979,50.43,51.6,7999,90.7
"2014-10-06 14:30:00",24473,13.83,83.5,82.6,83.5,81.4,15.95,18.14,14.77,0.675,31.81,1.752,1.914,258.1,75.33,4.603,7.993,3806,4960,52.2,0.175983,0.2307781,50.71,51.64,7999,90.7
"2014-10-06 14:45:00",24474,13.82,82.1,83.1,84.9,81.3,15.77,17.97,14.12,0.638,31.9,2.706,1.985,331.5,65.85,5.918,7.993,3818,4960,50.31,0.1730918,0.229557,51.03,51.64,7999,90.5
"2014-10-06 15:00:00",24475,13.82,82.3,82.2,83.2,81.6,14.86,17.49,13.75,0.564,29.78,3.015,3.029,33.97,36.39,7.014,7.993,3830,4961,48.12,0.1961432,0.2764572,51.31,51.67,7999,88.6
