"TOACI1","WRDO","Min15"
"TMSTAMP","RECNBR","BV","OB","OBM","OBX","OBN","TU","TUX","TUN","EA","TP","WS","WSH","WD","WDS","WG","PC","SQ","UI","SI","ETo","ETr","SW","SV","LW","AU"
"2014-10-06 21:15:00",24500,12.7,59.66,58.03,59.72,53.7,37.91,44.3,35.81,0.628,32.49,1.876,2.195,275,22.59,2.85,7.996,3918,4981,0.006,0.02812686,0.04280604,54.32,52.73,1263,45.17
"2014-10-06 21:30:00",24501,12.69,59.37,59.2,60.7,56.99,36.33,39.28,34.6,0.618,32.49,2.623,2.297,291.4,7.599,3.507,7.995,3918,4981,0.005,0.03070408,0.04656818,54.25,52.73,2246,45.44
"2014-10-06 21:45:00",24502,12.68,50.58,49.36,59.31,45.59,49.82,56.32,35.21,0.578,31.22,3.789,3.396,196.2,14.29,5.48,7.995,3918,4982,0.005,0.02724081,0.03823313,54.17,52.77,159.2,42.68
"2014-10-06 22:00:00",24503,12.68,47.8,49.85,52.52,47.07,46.05,50.33,41.08,0.552,29.88,4.497,3.928,188.6,9.37,5.699,7.996,3918,4983,0.005,0.03250254,0.04468774,54.1,52.81,386.3,43.14
