"TOACI1","WRDO","Min15"
"TMSTAMP","RECNBR","BV","OB","OBM","OBX","OBN","TU","TUX","TUN","EA","TP","WS","WSH","WD","WDS","WG","PC","SQ","UI","SI","ETo","ETr","SW","SV","LW","AU"
"2014-10-06 13:15:00",24468,13.88,77.63,77.32,78.85,75.58,19.81,21.99,18.48,0.652,32.92,1.869,2.089,97.9,72.19,5.261,7.992,3737,4957,57.66,0.1861284,0.2409634,49.41,51.61,7999,87.5
"2014-10-06 13:30:00",24469,13.87,78.71,77.81,78.97,76.05,19.24,21.82,17.6,0.59,32.58,2.542,2.425,77.2,71.47,6.138,7.992,3751,4958,57.11,0.1943016,0.2567089,49.66,51.61,7999,88.4
"2014-10-06 13:45:00",24470,13.85,80,79.31,80.4,78.16,17.34,19.15,15.51,0.574,31.23,2.085,2.196,110.4,79.95,5.699,7.992,3765,4958,56.49,0.1901801,0.2496466,49.9,51.6,7999,89.3
"2014-10-06 14:00:00",24471,13.85,80.8,80.7,81.9,79.44,17,18.85,15.58,0.587,31.86,2.619,2.256,149.9,58.51,6.576,7.993,3779,4959,55.3,0.1910211,0.2526197,50.18,51.6,7999,90.5
