"TOACI1","WRDO","Min15"
"TMSTAMP","RECNBR","BV","OB","OBM","OBX","OBN","TU","TUX","TUN","EA","TP","WS","WSH","WD","WDS","WG","PC","SQ","UI","SI","ETo","ETr","SW","SV","LW","AU"
"2014-10-06 16:15:00",24480,13.32,82.3,83.7,84.7,82.2,13.38,15.7,12.37,0.502,28.37,2.228,2.228,320.2,76.11,5.261,7.994,3880,4964,33.71,0.1237713,0.183989,52.7,51.82,7999,80.1
"2014-10-06 16:30:00",24481,13.26,82.9,83,83.5,82.3,13.3,15.03,11.59,0.483,27.64,2.125,2.224,358.2,43.41,4.822,7.995,3888,4965,30.41,0.104972,0.163553,52.93,51.86,7999,77.78
"2014-10-06 16:45:00",24482,13.19,82.9,83.2,83.6,82.7,13.42,15.66,12.16,0.601,28.03,1.714,1.885,30.11,80.7,4.165,7.994,3895,4965,27.05,0.0687726,0.1174555,53.16,51.9,7999,76.4
"2014-10-06 17:00:00",24483,13.14,82.1,82.7,83.3,82,14.53,17.85,12.3,0.602,29.49,2.203,1.885,337.9,41.04,5.918,7.993,3901,4966,23.49,0.02674009,0.07188292,53.39,51.93,7999,74.3
