"TOACI1","WRDO","Min15"
"TMSTAMP","RECNBR","BV","OB","OBM","OBX","OBN","TU","TUX","TUN","EA","TP","WS","WSH","WD","WDS","WG","PC","SQ","UI","SI","ETo","ETr","SW","SV","LW","AU"
"2014-10-07 19:15:00",24588,12.75,60.93,61.44,66.37,58.07,30.21,34.74,23.58,0.62,29.69,6.865,6.142,315.1,21.4,11.4,7.994,4307,5042,0.007,0.07428131,0.09870975,54.49,52.38,1310,51.27
"2014-10-07 19:30:00",24589,12.74,56.52,57.85,60.99,56.21,37.98,40.41,33.9,0.63,32.39,5.76,6.606,315,14.7,8.11,7.995,4307,5043,0.003,0.06272836,0.08168072,54.49,52.43,449.1,50.58
"2014-10-07 19:45:00",24590,12.73,54.16,55.34,56.82,53.49,43.67,46.55,40.38,0.644,33.61,5.116,5.52,318.3,22.05,8.55,7.995,4307,5045,0.003,0.04814535,0.06390554,54.49,52.47,220.1,49.23
"2014-10-07 20:00:00",24591,12.73,53.75,55.63,56.59,53.69,41.76,45.07,40.32,0.622,32.78,5.467,4.949,323.8,14.74,7.891,7.995,4307,5046,0.003,0.04682129,0.0631868,54.46,52.51,155.9,47.85
