"TOACI1","WRDO","Min15"
"TMSTAMP","RECNBR","BV","OB","OBM","OBX","OBN","TU","TUX","TUN","EA","TP","WS","WSH","WD","WDS","WG","PC","SQ","UI","SI","ETo","ETr","SW","SV","LW","AU"
"2014-10-08 03:15:00",24620,12.6,40.3,36.31,40.36,34.28,73.53,78.35,62.58,0.531,28.59,2.019,1.984,250.4,6.373,4.165,7.994,4307,5068,0.005,0.005603609,0.008437965,51.46,52.82,2.736,32.69
"2014-10-08 03:30:00",24621,12.59,31.61,39.04,42.43,30.7,61.86,79.3,54.1,0.477,26.97,2.306,1.642,267.9,52.02,6.138,7.993,4307,5068,0.004,0.008062581,0.0124017,51.34,52.78,4.816,32.36
"2014-10-08 03:45:00",24622,12.58,34.04,31.96,34.16,30.64,82.2,85.9,75.75,0.546,27.15,3.659,3.455,327.5,6.887,6.138,7.994,4307,5069,0.004,0.004924539,0.006763715,51.23,52.78,2.825,31.51
"2014-10-08 04:00:00",24623,12.58,34.77,33.69,34.89,31.79,81,85.8,78.05,0.541,28.47,3.099,3.297,338.9,7.991,4.384,7.993,4307,5070,0.005,0.005456973,0.007564284,51.11,52.74,2.418,30.71
