"TOACI1","WRDO","Min15"
"TMSTAMP","RECNBR","BV","OB","OBM","OBX","OBN","TU","TUX","TUN","EA","TP","WS","WSH","WD","WDS","WG","PC","SQ","UI","SI","ETo","ETr","SW","SV","LW","AU"
"2014-10-07 10:15:00",24552,13.24,62.62,61.47,62.8,60.31,41.66,44.79,38.77,0.77,37.98,0.318,0.315,42.12,26.63,2.85,7.991,3979,5001,39.15,0.08087937,0.09035123,48.51,51.99,377.1,61.65
"2014-10-07 10:30:00",24553,13.32,63.58,62.96,63.7,62.37,39,42.08,36.74,0.738,37.64,0.676,0.48,82.4,31.85,2.63,7.991,3990,5001,42.02,0.09105092,0.103694,48.46,51.94,510.6,66.28
"2014-10-07 10:45:00",24554,13.43,63.19,63.87,64.72,63.07,37.21,39.44,35.08,0.741,37.26,1.263,0.753,84.3,82.4,3.507,7.99,4001,5001,44.56,0.1023514,0.1198198,48.45,51.89,777.4,69.35
"2014-10-07 11:00:00",24555,13.59,64.15,63.58,64.27,62.82,36.48,38.86,34.47,0.712,36.5,2.285,1.74,332.1,49,4.603,7.99,4013,5002,46.93,0.1236589,0.1559269,48.53,51.85,1179,69.98
