"TOACI1","WRDO","Min15"
"TMSTAMP","RECNBR","BV","OB","OBM","OBX","OBN","TU","TUX","TUN","EA","TP","WS","WSH","WD","WDS","WG","PC","SQ","UI","SI","ETo","ETr","SW","SV","LW","AU"
"2014-10-06 19:15:00",24492,12.74,59.2,59.73,61.92,57.67,32.53,35.8,28.9,0.571,30.21,6.523,6.417,296.8,4.793,7.891,7.994,3918,4974,0.011,0.07025118,0.0923232,54.52,52.37,2264,52.49
"2014-10-06 19:30:00",24493,12.74,56.73,57.49,59.69,56.12,38.87,47.67,32.04,0.743,32.46,4.618,5.633,315.7,28.98,7.014,7.996,3918,4975,0.004,0.05588785,0.07438798,54.56,52.42,506.4,49.8
"2014-10-06 19:45:00",24494,12.72,54.73,57.07,58.37,54.61,47.06,50.24,44.91,0.733,37.08,3.932,4.26,328,22.56,5.918,7.995,3918,4976,0.004,0.03957396,0.05483018,54.56,52.46,177.7,48.13
"2014-10-06 20:00:00",24495,12.72,60.21,58.19,60.76,54.67,40.89,50.13,34.98,0.639,34.45,4.049,3.588,352.6,24.78,6.138,7.996,3918,4977,0.004,0.04032433,0.05741,54.56,52.5,931,47.58
