"TOACI1","WRDO","Min15"
"TMSTAMP","RECNBR","BV","OB","OBM","OBX","OBN","TU","TUX","TUN","EA","TP","WS","WSH","WD","WDS","WG","PC","SQ","UI","SI","ETo","ETr","SW","SV","LW","AU"
"2014-10-07 11:15:00",24556,13.73,66.69,64.83,66.81,63.54,32.94,36.09,29.87,0.685,35.02,1.37,2.324,275.7,63.85,5.042,7.991,4025,5002,49.2,0.142058,0.1853841,48.52,51.84,3094,70.81
"2014-10-07 11:30:00",24557,13.87,67.83,66.87,68.02,65.35,30.38,32.33,28.55,0.693,34.78,1.462,0.952,3.254,63.07,4.384,7.991,4038,5003,51.27,0.1254592,0.1492166,48.6,51.8,4247,73.16
"2014-10-07 11:45:00",24558,13.92,70.19,68.63,70.31,67.16,27.89,30.98,25.17,0.649,34.13,1.507,1.757,129.8,89.4,4.384,7.992,4051,5003,52.95,0.1489289,0.1882247,48.73,51.76,7999,76.79
"2014-10-07 12:00:00",24559,13.97,69.75,70.09,71.34,68.84,26.09,28.55,24.83,0.631,33.73,2.016,1.42,312.9,65.96,7.234,7.992,4065,5004,54.32,0.148128,0.1829832,48.85,51.76,7999,78.92
