"TOACI1","WRDO","Min15"
"TMSTAMP","RECNBR","BV","OB","OBM","OBX","OBN","TU","TUX","TUN","EA","TP","WS","WSH","WD","WDS","WG","PC","SQ","UI","SI","ETo","ETr","SW","SV","LW","AU"
"2014-10-07 16:15:00",24576,13.37,79.66,80.1,81.2,79.17,16.12,19.41,14.76,0.549,30.08,10.26,8.53,292.7,14.65,15.78,7.992,4270,5018,34.22,0.2750691,0.4566936,52.85,51.86,7999,75.92
"2014-10-07 16:30:00",24577,13.28,79.41,79.55,80.1,79.11,15.4,16.31,14.56,0.545,28.52,10.99,11.27,282.6,10.04,16.88,7.993,4278,5021,33.37,0.3219111,0.548449,53.09,51.9,7999,75.18
"2014-10-07 16:45:00",24578,13.21,78.2,78.65,79.47,78.14,16.61,18.06,15.16,0.555,29.65,10.76,10.69,292.4,9.65,15.56,7.993,4285,5023,27.22,0.2801139,0.4904563,53.32,51.94,7999,73.34
"2014-10-07 17:00:00",24579,13.16,77.17,77.76,78.26,76.75,16.78,17.86,15.94,0.521,29.18,11.54,11.03,288,8.57,17.54,7.994,4291,5026,23.62,0.2485889,0.459157,53.52,51.98,7999,71.9
