"TOACI1","WRDO","Min15"
"TMSTAMP","RECNBR","BV","OB","OBM","OBX","OBN","TU","TUX","TUN","EA","TP","WS","WSH","WD","WDS","WG","PC","SQ","UI","SI","ETo","ETr","SW","SV","LW","AU"
"2014-10-07 09:15:00",24548,12.92,52.88,51.48,52.94,50.27,59.26,63.23,55.01,0.751,37.74,0.838,0.836,96.8,45.8,2.63,7.993,3945,5001,26.14,0.05177248,0.06162659,48.73,52.13,77.47,46.43
"2014-10-07 09:30:00",24549,13.02,55.05,54.18,55.11,52.88,52.14,56.26,50.31,0.757,37.02,0.879,1.008,91.1,59.39,2.411,7.992,3952,5001,29.61,0.06353482,0.07717743,48.64,52.08,76.65,49.73
"2014-10-07 09:45:00",24550,13.1,57.78,56.11,57.78,54.99,48.96,52.3,45.61,0.745,37.21,0.455,0.558,54.42,91.4,1.973,7.992,3961,5001,32.96,0.06667795,0.07694065,48.56,52.04,89,53.42
"2014-10-07 10:00:00",24551,13.18,60.99,58.85,61.17,57.72,44.93,47.67,41.04,0.751,37.53,0.295,0.487,46.71,82.3,2.63,7.991,3970,5001,36.17,0.07480287,0.08549685,48.55,51.99,181.9,57.65
