"TOACI1","WRDO","Min15"
"TMSTAMP","RECNBR","BV","OB","OBM","OBX","OBN","TU","TUX","TUN","EA","TP","WS","WSH","WD","WDS","WG","PC","SQ","UI","SI","ETo","ETr","SW","SV","LW","AU"
"2014-10-07 01:15:00",24516,12.62,42.82,41.1,43.55,39.35,69.63,74.36,63.29,0.63,31.93,0.648,1.209,285.7,77.42,2.85,7.995,3918,4992,0.007,0.003937708,0.006533009,52.72,53,1.969,36.13
"2014-10-07 01:30:00",24517,12.62,44.28,45.19,47.01,42.76,57.54,67.44,53.54,0.57,31.05,2.487,1.751,227.1,6.076,3.288,7.994,3918,4993,0.006,0.01115819,0.0171532,52.61,53,2.54,36.5
"2014-10-07 01:45:00",24518,12.61,39.97,41.91,45.07,39.35,62.6,69.75,54.08,0.582,29.99,1.466,2.029,304.9,46.5,3.069,7.995,3918,4993,0.005,0.01036632,0.01552518,52.49,53,2.71,36.19
"2014-10-07 02:00:00",24519,12.61,39.73,41.54,43.01,39.73,65.86,69.98,61.95,0.577,30.98,1.614,1.174,3.656,14.81,3.726,7.995,3918,4994,0.005,0.004596435,0.007592631,52.37,53,2.275,36.29
