"TOACI1","WRDO","Min15"
"TMSTAMP","RECNBR","BV","OB","OBM","OBX","OBN","TU","TUX","TUN","EA","TP","WS","WSH","WD","WDS","WG","PC","SQ","UI","SI","ETo","ETr","SW","SV","LW","AU"
"2014-10-07 22:15:00",24600,12.68,48.97,53.75,56.8,48.79,36.94,44.06,32.93,0.52,27.98,3.189,2.988,350.3,14.7,4.603,7.994,4307,5055,0.005,0.03425705,0.04945586,53.8,52.83,285.3,41.76
"2014-10-07 22:30:00",24601,12.68,51.65,52.32,53.59,48.97,37.8,44.13,35.09,0.492,27.31,2.761,3.148,325.7,36.02,4.822,7.995,4307,5056,0.005,0.03392637,0.04844426,53.69,52.87,427.8,41.29
"2014-10-07 22:45:00",24602,12.67,46.49,50.73,53.78,46.49,39.47,47.44,34.28,0.51,26.84,3.11,2.631,253.3,43.18,5.918,7.994,4307,5057,0.004,0.02776833,0.04052334,53.61,52.87,233.3,40.62
"2014-10-07 23:00:00",24603,12.67,43.88,44.2,46.49,42.97,51.73,54.09,47.44,0.514,27.56,4.752,4.088,205.5,6.939,5.699,7.994,4307,5058,0.004,0.02563278,0.03455722,53.49,52.87,60.3,38.96
