"TOACI1","WRDO","Min15"
"TMSTAMP","RECNBR","BV","OB","OBM","OBX","OBN","TU","TUX","TUN","EA","TP","WS","WSH","WD","WDS","WG","PC","SQ","UI","SI","ETo","ETr","SW","SV","LW","AU"
"2014-10-08 02:15:00",24616,12.61,43.69,43.87,44.36,43.08,59.8,62.73,58.41,0.601,30.81,2.341,2.099,119.1,8.5,3.507,7.994,4307,5065,0.005,0.01207069,0.01803182,51.98,52.89,3.6,33.9
"2014-10-08 02:30:00",24617,12.61,41.08,40.26,43.63,37.37,69.38,80.2,61.86,0.576,30.97,3.033,2.871,109.9,15.42,5.042,7.994,4307,5066,0.005,0.01072841,0.01522271,51.82,52.89,3.155,34.28
"2014-10-08 02:45:00",24618,12.61,41.94,41.78,43.76,40.47,63.13,67.94,56.63,0.56,30.14,2.302,2.714,108.1,19.43,3.507,7.994,4307,5067,0.005,0.01310127,0.01875334,51.7,52.85,4.34,34.17
"2014-10-08 03:00:00",24619,12.6,35.2,41.84,44.98,35.13,57.75,74.2,50.39,0.515,27.94,1.703,1.931,159.7,55.12,2.63,7.995,4307,5067,0.005,0.01144655,0.01721733,51.58,52.85,5.914,33.63
