ANDERSON FORECAST                                                                                                 
    24.63    75.79   248.50    46.96   534.69                                                                 1955
    56.09   196.71   470.10    40.32   985.49                                                                 1956
    43.83   160.98   365.30    40.28   814.34                                                                 1957
    33.92   145.77   384.60    55.42   763.76                                                                 1958
    41.37   143.00   288.40    28.26   637.44                                                                 1959
    85.06   121.38   242.50    26.89   675.58                                                                 1960
    44.06   111.10   271.30    21.35   579.99                                                                 1961
    36.59   133.68   305.40    37.29   638.96                                                                 1962
   159.76   140.70   233.00    60.81   826.25                                                                 1963
    44.59   121.07   284.60    35.14   695.34                                                                 1964
    40.26   192.53   450.50    49.46  1023.56                                                                 1965
    44.81   102.04   260.50    12.20   483.88                                                                 1966
    31.95   130.50   349.60    37.08   746.83                                                                 1967
    61.39   113.60   244.80    23.71   555.77                                                                 1968
    66.82   180.07   400.30    25.53   809.65                                                                 1969
    30.51   154.79   347.80    41.02   835.55                                                                 1970
    73.89   223.67   489.60    29.60  1106.69                                                                 1971
    33.16   158.26   424.40    33.55   843.69                                                                 1972
    33.16   116.98   250.60    23.85   433.38                                                                 1973
   117.99   224.93   531.10    15.56  1297.67                                                                 1974
    28.11   129.86   372.50    29.45   703.52                                                                 1975
    96.56   133.43   333.80    20.16   844.79                                                                 1976
    27.12    31.50    71.70    27.93   200.88                                                                 1977
    45.71   152.99   346.90    36.21   903.32                                                                 1978
    27.42    81.35   221.80    19.86   452.28                                                                 1979
    34.95   141.96   361.40    45.77   767.92                                                                 1980
    52.87   146.01   222.80    59.39   736.89                                                                 1981
    73.62   247.34   434.40    58.66  1138.84                                                                 1982
    71.84   214.51   425.30    31.01   942.31                                                                 1983
    84.40   168.82   287.30    54.81   929.29                                                                 1984
    56.87   150.11   276.70    19.40   526.87                                                                 1985
    68.46   172.43   361.80    27.75   820.04                                                                 1986
    42.25    82.47   168.90    29.23   358.88                                                                 1987
    13.88   106.95   209.80    39.75   383.05                                                                 1988
    32.32   141.56   306.10    21.34   571.91                                                                 1989
    34.20    88.92   199.20    66.11   466.04                                                                 1990
    25.48    81.48   188.60    41.41   411.90                                                                 1991
    29.07   112.08   197.80    29.80   350.55                                                                 1992
    19.84   159.34   296.40    59.59   737.02                                                                 1993
    27.46    86.31   167.70    25.74   309.38                                                                 1994
    28.43   184.45   348.30    61.94   893.99                                                                 1995
    68.23   207.61   351.30    64.16  1076.73                                                                 1996
    80.92   246.25   428.50    36.30  1118.94                                                                 1997
    54.81   132.89   259.60    62.38   811.07                                                                 1998
    48.77   172.74   374.00    21.01   891.04                                                                 1999
    37.56   130.94   266.90    25.16   620.00                                                                 2000
    44.99    81.50   128.70    24.75   313.34                                                                 2001
    46.05   147.57   262.00    22.70   574.86                                                                 2002
    14.09   141.34   293.00    41.38   682.86                                                                 2003
    17.92   137.05   234.40    35.99   547.97                                                                 2004
    33.14    99.61   179.50    51.87   515.44                                                                 2005
    35.30   204.34   363.80    45.95   897.51                                                                 2006
    48.25   134.24   205.90    17.83   507.34                                                                 2007
    59.59   159.81   303.00    25.34   730.42                                                                 2008
    30.82   119.15   257.10    46.21   633.87                                                                 2009
    34.22   119.75   185.30    58.30   615.19                                                                 2010
    36.84   165.29   298.80    50.57   877.58                                                                 2011
    34.59   163.88   318.60    39.13   745.50                                                                 2012
CLE ELUM FORECAST                                                                                                 
  5  5 69                 1 11944    1    1     203                                                               
CLE ELUM                                                                                                          
   219.54   160.57    95.20    39.09   373.52                                                                 1944
    93.75   199.98   123.70    47.43   530.27                                                                 1945
   115.45   264.43   229.30    44.02   685.36                                                                 1946
   189.43   266.15   132.40    47.28   670.60                                                                 1947
   129.84   252.13   192.30    69.42   784.83                                                                 1948
   187.07   285.40   290.00    26.82   688.92                                                                 1949
   219.72   316.53   266.60    39.53   849.48                                                                 1950
   343.70   308.03   203.50    26.89   820.76                                                                 1951
   162.82   201.77   170.90    33.63   539.61                                                                 1952
   142.21   219.54   160.60    53.96   606.38                                                                 1953
   217.92   291.74   240.40    52.56   751.33                                                                 1954
   376.42   230.46   213.20    44.62   636.16                                                                 1955
   306.99   334.89   337.90    22.49   922.60                                                                 1956
   271.07   232.45   159.80    32.44   650.00                                                                 1957
   102.38   199.85   139.10    49.13   540.22                                                                 1958
    99.47   320.31   161.00    47.90   825.99                                                                 1959
   288.91   255.43   123.40    62.25   747.12                                                                 1960
   143.26   281.77   175.30    47.41   723.75                                                                 1961
   144.47   211.06   148.90    50.31   597.58                                                                 1962
   163.95   206.39    70.10    35.57   545.76                                                                 1963
   118.80   248.81   241.80    46.54   651.11                                                                 1964
   365.73   255.85   189.20    31.77   642.20                                                                 1965
   165.10   172.95   180.90    34.81   506.58                                                                 1966
   153.50   265.03   166.70    22.63   616.61                                                                 1967
   173.26   281.19    84.00    52.04   722.90                                                                 1968
   188.97   255.64   203.50    35.39   679.36                                                                 1969
   139.03   173.15   138.80    47.74   516.85                                                                 1970
   142.80   295.22   265.00    29.87   755.15                                                                 1971
   368.43   376.09   253.00    45.79   971.81                                                                 1972
   358.85   164.29    87.00    37.61   427.43                                                                 1973
   121.82   313.48   256.90    56.60   880.04                                                                 1974
   396.04   282.97   223.10    30.41   669.61                                                                 1975
   235.20   352.07   202.90    33.95   847.38                                                                 1976
   301.86   146.68    73.60    28.28   363.07                                                                 1977
   107.50   250.74   107.80    54.26   684.16                                                                 1978
   162.50   198.38   143.30    36.94   455.94                                                                 1979
   118.69   213.73   150.10    43.64   535.94                                                                 1980
   160.07   239.16    41.20    83.16   612.43                                                                 1981
   149.39   249.68   196.30    31.98   698.42                                                                 1982
   234.89   229.08   126.50    29.21   633.09                                                                 1983
   207.91   242.37   132.10    71.45   666.54                                                                 1984
   265.35   192.10   177.00    58.81   508.26                                                                 1985
   153.50   222.64    94.50    37.95   566.84                                                                 1986
   132.42   200.21   123.20    39.42   508.32                                                                 1987
    82.12   186.79   140.20    46.99   499.55                                                                 1988
   127.21   236.26   149.40    34.70   626.45                                                                 1989
   131.63   262.04   163.40    62.21   720.88                                                                 1990
   147.77   327.96   117.70    57.33   858.51                                                                 1991
   217.66   195.59    63.00    39.44   497.93                                                                 1992
    78.98   167.45    98.00    61.63   470.16                                                                 1993
   110.42   160.77   120.00    30.50   433.75                                                                 1994
    81.73   269.05   139.90    25.82   658.95                                                                 1995
   138.56   379.24   106.00    54.06   945.98                                                                 1996
   140.73   356.43   243.40    46.72   905.50                                                                 1997
   295.56   209.03   140.00    32.12   600.37                                                                 1998
   101.20   317.31   245.10    27.68   783.15                                                                 1999
   326.87   245.22   171.20    42.47   652.14                                                                 2000
   178.07   127.00    94.50    48.12   348.62                                                                 2001
   103.75   264.20   187.20    44.97   743.71                                                                 2002
   220.40   206.05   114.10    28.45   505.43                                                                 2003
   119.12   226.50   131.00    28.28   566.76                                                                 2004
   200.86   156.53    36.70    36.48   466.64                                                                 2005
    83.98   235.25   188.40    30.24   628.03                                                                 2006
   133.55   307.48   151.70    22.42   709.43                                                                 2007
   116.48   246.17   222.80    35.11   598.95                                                                 2008
   215.68   245.35   153.40    43.31   612.72                                                                 2009
   136.81   176.65    93.50    63.22   559.62                                                                 2010
   197.27   276.68   144.00    63.31   761.72                                                                 2011
   308.84   249.86   191.50    48.22   702.02                                                                 2012
DEADWOOD FORECAST                                                                                                 
  5  5 63                 1 11950    1    1     113                                                               
DEADWOOD                                                                                                          
    26.81   166.21   407.40    20.85   177.14                                                                 1950
    95.17   159.19   372.76    31.76   188.65                                                                 1951
    86.35   183.42   427.70    26.35   211.70                                                                 1952
    25.07   144.76   335.10    43.33   186.99                                                                 1953
    47.75   146.18   373.70    39.08   189.37                                                                 1954
    24.18    75.79   248.50    46.96   122.87                                                                 1955
    75.64   196.71   470.10    40.32   241.90                                                                 1956
    66.13   160.98   365.30    40.28   188.70                                                                 1957
    51.47   145.77   384.60    55.42   196.49                                                                 1958
    60.22   143.00   288.40    28.26   159.63                                                                 1959
   104.16   121.38   242.50    26.89   144.15                                                                 1960
    45.21   111.10   271.30    21.35   125.41                                                                 1961
    32.09   133.68   305.40    37.29   156.29                                                                 1962
   162.11   140.70   233.00    60.81   185.53                                                                 1963
    59.34   121.07   284.60    35.14   148.90                                                                 1964
    49.26   192.53   450.50    49.46   257.28                                                                 1965
    52.86   102.04   260.50    12.20   118.06                                                                 1966
    43.05   130.50   349.60    37.08   171.08                                                                 1967
    65.49   113.60   244.80    23.71   131.92                                                                 1968
    68.92   180.07   400.30    25.53   198.16                                                                 1969
    36.26   154.79   347.80    41.02   193.80                                                                 1970
    76.59   223.67   489.60    29.60   286.20                                                                 1971
    35.71   158.26   424.40    33.55   202.59                                                                 1972
    39.91   116.98   250.60    23.85   112.67                                                                 1973
   121.04   224.93   531.10    15.56   297.81                                                                 1974
    36.66   129.86   372.50    29.45   164.34                                                                 1975
    98.41   133.43   333.80    20.16   181.90                                                                 1976
    37.57    31.50    71.70    27.93    51.09                                                                 1977
    45.16   152.99   346.90    36.21   198.89                                                                 1978
    35.67    81.35   221.80    19.86   106.12                                                                 1979
    35.95   141.96   361.40    45.77   184.59                                                                 1980
    53.92   146.01   222.80    59.39   160.72                                                                 1981
    72.57   247.34   434.40    58.66   237.98                                                                 1982
    74.74   214.51   425.30    31.01   235.10                                                                 1983
    86.15   168.82   287.30    54.81   201.30                                                                 1984
    61.92   150.11   276.70    19.40   137.64                                                                 1985
    77.53   172.43   361.80    27.75   205.15                                                                 1986
    54.92    82.47   168.90    29.23    84.33                                                                 1987
    23.95   106.95   209.80    39.75    89.52                                                                 1988
    28.75   141.56   306.10    21.34   131.57                                                                 1989
    34.65    88.92   199.20    66.11   115.30                                                                 1990
    36.14    81.48   188.40    41.38    84.65                                                                 1991
    29.07   112.08   197.80    29.80    87.99                                                                 1992
    19.84   159.34   296.40    59.59   176.43                                                                 1993
    27.46    86.31   167.70    25.74    76.92                                                                 1994
    28.43   184.45   348.30    61.94   204.03                                                                 1995
    68.23   207.61   351.30    64.16   242.95                                                                 1996
    80.92   246.25   428.50    36.30   264.93                                                                 1997
    54.81   132.89   259.60    62.38   166.57                                                                 1998
    48.77   172.74   374.00    21.01   175.77                                                                 1999
    37.56   130.94   266.90    25.16   125.83                                                                 2000
    44.99    81.50   128.70    24.75    63.79                                                                 2001
    46.05   147.57   262.00    22.70   124.08                                                                 2002
    14.09   141.34   293.00    41.38   161.66                                                                 2003
    17.92   137.05   234.40    35.99   129.53                                                                 2004
    33.14    99.61   179.50    51.87   120.27                                                                 2005
    35.30   204.34   363.80    45.95   208.53                                                                 2006
    48.25   134.24   205.90    17.83   124.51                                                                 2007
    59.59   159.81   303.00    25.34   173.18                                                                 2008
    30.82   119.15   257.10    46.21   147.88                                                                 2009
    34.22   119.75   185.30    58.30   146.38                                                                 2010
    36.84   165.29   298.80    50.57   195.67                                                                 2011
    34.59   163.88   318.60    39.13   189.42                                                                 2012
UPPER SNAKE HEISE NATURAL  FORECAST                                                                               
  5  5 65                 1 11948     1   1    5742                                                               
HEISE                                                                                                             
   441.50    78.75   166.50    40.96  4285.28                                                                 1948
   407.83   104.07   222.20    31.93  4368.76                                                                 1949
   462.12   120.42   262.90    27.28  5332.89                                                                 1950
   546.17   102.36   259.40    29.03  5503.52                                                                 1951
   517.02   100.99   245.50    26.08  5097.10                                                                 1952
   401.22    75.95   190.60    34.27  4032.72                                                                 1953
   393.07    85.56   238.60    36.25  4503.42                                                                 1954
   408.66    68.79   174.30    31.76  3475.82                                                                 1955
   397.94   134.65   306.50    29.92  6040.10                                                                 1956
   445.47    83.38   217.60    47.64  4921.39                                                                 1957
   426.21    79.24   196.50    25.09  3904.06                                                                 1958
   389.16    88.26   194.60    33.02  3899.74                                                                 1959
   435.95    67.77   147.50    25.30  3396.85                                                                 1960
   400.14    70.87   152.00    26.97  3126.67                                                                 1961
   420.01   105.79   257.90    31.78  4829.84                                                                 1962
   422.97    65.19   146.90    58.06  3950.72                                                                 1963
   418.79    79.34   189.10    48.50  4613.63                                                                 1964
   415.72   112.41   278.80    38.63  5717.31                                                                 1965
   514.01    62.18   158.30    33.17  3754.57                                                                 1966
   383.90    83.78   227.40    43.36  4593.77                                                                 1967
   481.22    83.16   176.10    38.78  4228.10                                                                 1968
   472.67    85.36   220.80    23.82  4431.07                                                                 1969
   399.50    80.91   203.80    40.02  4487.81                                                                 1970
   471.50   120.32   309.90    37.80  6592.10                                                                 1971
   581.80   120.92   281.70    37.80  6108.60                                                                 1972
   572.90    83.48   155.10    26.02  3852.80                                                                 1973
   475.20   114.68   260.10    27.02  6155.46                                                                 1974
   499.20    91.04   211.80    40.99  5055.80                                                                 1975
   494.50   114.93   268.10    30.63  5566.40                                                                 1976
   443.30    33.78    81.70    28.87  2271.34                                                                 1977
   330.28   116.67   261.30    33.48  5325.49                                                                 1978
   436.90    75.23   204.30    16.45  4101.50                                                                 1979
   362.77    74.10   202.00    43.88  4381.75                                                                 1980
   414.77    53.37   111.20    50.87  3602.65                                                                 1981
   384.41   119.80   274.40    38.15  6003.62                                                                 1982
   611.52    85.30   192.20    31.87  5725.37                                                                 1983
   714.68    98.04   164.40    39.54  5938.56                                                                 1984
   576.98    71.26   168.90    24.33  4425.38                                                                 1985
   477.90   112.60   275.50    37.34  6755.30                                                                 1986
   572.20    51.99   123.10    34.50  3501.50                                                                 1987
   341.09    63.84   153.00    25.49  3265.93                                                                 1988
   343.29   102.84   222.40    31.93  4310.70                                                                 1989
   417.49    65.28   151.30    33.80  3450.81                                                                 1990
   400.40    65.15   157.10    41.42  3872.86                                                                 1991
   411.46    53.08   114.90    30.41  2742.03                                                                 1992
   328.89    81.71   173.70    53.71  4410.19                                                                 1993
   419.70    60.07   128.30    23.65  3131.64                                                                 1994
   376.15   112.15   194.40    44.61  4917.16                                                                 1995
   505.50   115.76   252.70    45.60  6307.84                                                                 1996
   530.71   140.56   275.10    41.04  7688.99                                                                 1997
   580.22    92.67   178.20    48.74  5350.10                                                                 1998
   503.45    99.95   220.20    41.03  5610.39                                                                 1999
   495.31    76.61   165.90    29.39  3989.11                                                                 2000
   396.27    55.76   109.10    26.92  2679.67                                                                 2001
   326.20    80.14   156.30    29.51  3240.88                                                                 2002
   356.67    81.80   178.40    19.60  3493.66                                                                 2003
   371.11    74.38   152.40    37.76  3400.04                                                                 2004
   418.44    59.21   149.80    41.42  3790.94                                                                 2005
   440.54   102.59   212.60    27.69  4756.48                                                                 2006
   459.64    71.94   128.30    18.41  3099.45                                                                 2007
   416.43   105.81   192.00    33.53  4690.90                                                                 2008
   474.12    84.01   190.70    53.58  5180.70                                                                 2009
   442.76    55.25   107.70    48.16  3676.07                                                                 2010
   415.88   105.95   239.80    67.32  6529.98                                                                 2011
   577.28    89.23   163.00    25.52  4372.41                                                                 2012
HORSESHOE BEND FORECAST                                                                                           
  5  5 63                 1 11950    1    1    2230                                                               
HORSESHOE BEND                                                                                                    
   126.57   269.60   693.20    30.22  2472.04                                                                 1950
   222.99   258.41   676.02    41.26  2591.38                                                                 1951
   218.95   301.78   762.90    37.83  3014.94                                                                 1952
    99.95   234.27   619.40    61.73  2484.35                                                                 1953
   125.38   237.48   656.00    53.21  2491.08                                                                 1954
   117.53   122.54   451.40    65.72  1675.75                                                                 1955
   163.81   317.64   805.40    55.26  3289.44                                                                 1956
   166.31   259.41   641.10    59.80  2744.94                                                                 1957
   123.24   236.30   682.50    74.11  2555.77                                                                 1958
   147.63   229.58   501.40    38.86  1985.77                                                                 1959
   223.13   197.46   429.50    40.76  2056.55                                                                 1960
   142.09   183.87   470.70    30.01  1700.08                                                                 1961
   131.20   214.56   565.50    53.13  2002.66                                                                 1962
   340.19   231.63   372.00    82.71  2462.03                                                                 1963
   154.98   196.82   529.60    51.66  2074.69                                                                 1964
   139.52   309.19   793.60    70.07  3494.28                                                                 1965
   157.68   165.99   464.90    17.63  1520.06                                                                 1966
   114.54   214.69   614.40    51.24  2149.51                                                                 1967
   167.69   189.41   436.10    34.77  1639.59                                                                 1968
   190.94   286.55   716.20    38.68  2624.34                                                                 1969
   118.48   247.75   627.70    58.12  2562.79                                                                 1970
   218.87   347.72   874.20    43.18  3554.02                                                                 1971
   139.42   258.66   745.30    49.03  2854.40                                                                 1972
   145.64   187.40   429.10    33.69  1439.39                                                                 1973
   271.30   362.95   887.20    23.45  4004.06                                                                 1974
   129.91   215.98   688.00    38.79  2281.88                                                                 1975
   222.23   224.32   608.10    30.79  2445.74                                                                 1976
   116.70    54.19   149.40    37.10   696.21                                                                 1977
   127.68   256.74   596.40    55.10  2682.79                                                                 1978
   120.03   136.18   409.50    29.33  1394.30                                                                 1979
   105.09   229.34   645.80    69.57  2486.31                                                                 1980
   157.86   227.01   376.50    80.00  2134.77                                                                 1981
   193.33   371.49   757.10    79.73  3491.56                                                                 1982
   213.62   331.77   753.30    42.84  3200.15                                                                 1983
   238.36   267.90   539.10    74.10  2922.32                                                                 1984
   185.26   218.87   508.10    26.96  1798.00                                                                 1985
   193.14   273.88   617.60    40.02  2840.48                                                                 1986
   157.76   132.14   305.90    39.69  1127.90                                                                 1987
    74.68   164.66   368.10    56.38  1195.18                                                                 1988
   104.58   233.00   545.50    31.78  1834.23                                                                 1989
   128.22   142.48   344.10    91.39  1463.69                                                                 1990
   105.51   135.88   332.00    59.96  1213.63                                                                 1991
   107.30   177.85   311.30    41.60  1112.46                                                                 1992
    86.27   255.04   524.30    81.79  2368.54                                                                 1993
   111.06   137.07   309.50    37.69  1064.80                                                                 1994
    96.67   297.17   611.00    83.47  2786.31                                                                 1995
   194.46   327.91   586.20    88.81  3402.74                                                                 1996
   219.58   394.16   742.50    50.46  3791.48                                                                 1997
   172.50   217.27   462.40    86.28  2414.93                                                                 1998
   153.74   272.86   651.40    29.35  2766.58                                                                 1999
   146.47   216.48   474.20    35.18  1873.27                                                                 2000
   128.28   131.60   226.40    35.51   955.49                                                                 2001
   110.78   236.83   473.50    31.41  1746.31                                                                 2002
    89.50   225.95   502.10    57.10  2093.97                                                                 2003
    96.13   214.90   426.10    52.08  1695.43                                                                 2004
   122.99   159.71   318.60    69.90  1502.70                                                                 2005
   117.73   328.72   639.80    62.68  2870.56                                                                 2006
   162.64   213.07   357.80    26.01  1536.51                                                                 2007
   183.79   258.23   555.00    35.77  2250.71                                                                 2008
   132.26   187.99   454.70    64.89  1964.24                                                                 2009
   135.70   191.26   340.20    81.08  1866.94                                                                 2010
   135.29   262.11   531.80    69.72  2696.00                                                                 2011
   145.16   258.30   532.00    57.41  2444.16                                                                 2012
HUNGRY HORSE FORECAST                                                                                             
  4  4 69                 1 11944    1    1    1654                                                               
HUNGRY HORSE                                                                                                      
    68.12   349.05    48.50  1201.30                                                                          1944
    96.15   469.92    55.08  1825.50                                                                          1945
   137.40   612.69    49.01  2330.30                                                                          1946
   229.06   768.97    41.66  2705.10                                                                          1947
   136.23   596.05    80.53  2579.70                                                                          1948
    53.27   624.17    40.37  1976.40                                                                          1949
   145.48   822.95    43.62  2930.50                                                                          1950
   288.47   709.82    59.21  2590.70                                                                          1951
   167.06   628.86    42.05  2106.30                                                                          1952
   116.80   587.83    79.32  2348.50                                                                          1953
   114.55   742.45    54.67  2864.70                                                                          1954
   145.55   513.72    50.75  2124.30                                                                          1955
   193.86   746.69    43.48  2714.90                                                                          1956
   132.51   571.82    54.06  2050.00                                                                          1957
    85.62   568.44    65.07  1968.40                                                                          1958
   281.22   839.34    62.89  3257.40                                                                          1959
   230.57   587.50    59.05  2280.90                                                                          1960
   151.90   593.72    66.08  2419.70                                                                          1961
   136.31   617.76    70.35  2496.40                                                                          1962
   219.10   508.15    51.95  1835.70                                                                          1963
   103.86   646.75    88.30  2560.40                                                                          1964
   222.40   810.32    59.65  2880.40                                                                          1965
   148.02   533.10    53.72  2097.10                                                                          1966
   168.67   829.42    47.57  2678.60                                                                          1967
   171.06   584.33    53.22  2062.70                                                                          1968
   206.13   637.86    53.75  2232.50                                                                          1969
   105.95   652.04    65.99  2253.80                                                                          1970
   305.30   834.53    56.02  3086.20                                                                          1971
   110.19   907.91    41.08  2983.90                                                                          1972
   126.27   444.18    41.92  1538.70                                                                          1973
   286.46   843.25    51.12  3317.20                                                                          1974
    98.71   661.75    60.87  2456.90                                                                          1975
   242.39   687.57    50.49  2562.40                                                                          1976
    84.86   420.54    28.03  1244.40                                                                          1977
   137.57   646.95    53.26  2419.70                                                                          1978
    88.92   623.07    46.77  2102.40                                                                          1979
    78.50   511.96    81.59  1920.30                                                                          1980
   248.90   484.42   101.00  2437.40                                                                          1981
   141.23   726.19    53.78  2664.90                                                                          1982
   132.89   546.83    41.43  1936.00                                                                          1983
   178.76   504.59    63.72  1957.72                                                                          1984
   107.49   545.52    49.87  2068.74                                                                          1985
   236.28   505.13    45.50  2093.85                                                                          1986
   120.83   468.93    49.28  1529.85                                                                          1987
    74.24   484.28    52.44  1518.74                                                                          1988
   130.83   622.62    59.59  2295.89                                                                          1989
   346.92   644.70    57.43  2554.44                                                                          1990
   259.73   750.91    81.46  2873.76                                                                          1991
   115.01   472.96    50.26  1560.49                                                                          1992
   158.03   445.08    64.79  2000.56                                                                          1993
   113.56   416.98    55.94  1695.50                                                                          1994
   182.93   514.33    67.05  2015.87                                                                          1995
   418.96   720.06    84.59  2859.64                                                                          1996
   158.83   902.65    62.24  3315.75                                                                          1997
   134.94   432.12    73.28  1780.04                                                                          1998
   111.21   686.61    40.15  2240.50                                                                          1999
   151.97   591.38    47.88  2109.55                                                                          2000
    54.30   364.38    53.07  1322.63                                                                          2001
   115.05   642.22    57.97  2315.33                                                                          2002
