ANDERSON FORECAST                                                                                                 
     3.42    38.70    44.70    14.60    37.39                                                                 1994
     2.98    68.11    70.10    16.22    89.91                                                                 1995
    16.18    89.02    33.10    16.39   112.67                                                                 1996
    11.38    96.56    73.10    10.91   129.46                                                                 1997
     5.07    64.57    65.00    20.95    88.37                                                                 1998
     8.61    82.38   111.30     5.72   120.48                                                                 1999
     6.29    76.36    91.30     9.22    84.32                                                                 2000
     3.58    45.60    28.60    11.76    28.88                                                                 2001
     4.24    65.79    77.00     6.54    64.91                                                                 2002
     3.09    62.17    31.50    18.64    58.95                                                                 2003
     3.38    65.56    65.90    12.19    67.17                                                                 2004
     5.64    50.63    30.50    18.53    51.78                                                                 2005
     5.38    92.44   102.50    15.30   112.40                                                                 2006
     5.71    52.04    17.60     8.84    38.28                                                                 2007
     5.01    80.65   106.20    14.93    99.95                                                                 2008
     6.25    75.06    76.40    17.91    76.46                                                                 2009
     4.30    56.12    62.20    21.17    70.55                                                                 2010
     7.07    90.12    95.60    19.27   133.67                                                                 2011
     4.42    50.63    58.80    10.77    67.31                                                                 2012
BEULAH FORECAST                                                                                                   
  5  5 70                 1 11943    1    1     440                                                               
BEULAH                                                                                                            
     1.00    57.27   139.80    16.52   147.89                                                                 1943
     0.70    28.97    46.30    23.27    41.59                                                                 1944
     0.40    43.97    60.10    31.59    73.56                                                                 1945
     0.40    43.96   120.80    17.93    96.39                                                                 1946
     0.70    34.13    48.90    22.10    53.05                                                                 1947
     0.50    28.84    61.50    31.78    72.13                                                                 1948
     0.10    31.84   113.70    17.06    77.15                                                                 1949
     0.20    35.57    79.20    18.71    74.47                                                                 1950
     0.30    48.25    88.60    17.10    74.21                                                                 1951
     0.50    58.82   138.60    17.89   141.93                                                                 1952
     1.00    41.12   101.70    36.62   114.55                                                                 1953
     0.90    32.36    78.40    20.49    63.53                                                                 1954
     0.30    23.48    68.10    21.28    41.02                                                                 1955
     0.00    56.98   125.50    17.11   109.60                                                                 1956
     2.50    53.33    60.50    35.61   100.29                                                                 1957
     1.10    56.90   120.10    26.20   163.47                                                                 1958
     1.10    24.46    48.10    17.09    49.43                                                                 1959
     0.40    35.08    76.10    25.83    72.50                                                                 1960
     0.30    34.39    55.20    19.69    46.67                                                                 1961
     0.00    40.56    71.10    18.02    64.83                                                                 1962
     0.70    46.82    25.30    30.77    78.04                                                                 1963
     0.38    35.04    74.70    26.91    56.17                                                                 1964
     0.58    62.61   117.90    18.40   155.61                                                                 1965
     0.96    22.31    54.90     9.90    47.94                                                                 1966
     0.28    43.10    65.90    28.92    84.31                                                                 1967
     0.65    35.15    44.30     8.29    52.10                                                                 1968
     0.57    57.61    96.40    13.29   103.43                                                                 1969
     0.57    67.09   111.40    14.24   120.66                                                                 1970
     0.60    52.05    82.80    25.44   149.14                                                                 1971
     0.56    40.26   120.50    15.86    96.11                                                                 1972
     0.48    37.00    59.00    11.53    47.67                                                                 1973
     0.56    49.37   126.50    17.18   169.05                                                                 1974
     0.69    35.52   105.60    27.58   126.07                                                                 1975
     1.20    40.81    80.00    10.08    65.68                                                                 1976
     0.83    10.04     4.60    17.51    25.38                                                                 1977
     0.21    58.48    80.70    28.64    92.64                                                                 1978
     0.61    37.13   103.60    19.28    72.34                                                                 1979
     0.68    48.35    82.50    29.77    96.06                                                                 1980
     0.98    35.10    42.10    33.77    64.68                                                                 1981
     2.10    73.15   118.30    25.80   195.02                                                                 1982
     2.50    57.28   121.00    40.19   215.80                                                                 1983
     2.80    53.42   111.10    32.59   183.65                                                                 1984
     2.92    33.08    83.70    15.44    75.20                                                                 1985
     1.68    48.09    86.90    17.21   112.68                                                                 1986
     2.19    21.03    55.90    24.22    39.06                                                                 1987
     0.07    35.31    44.50    16.89    34.39                                                                 1988
     1.58    41.66   104.70    37.32    93.12                                                                 1989
     0.50    13.03    55.50    21.51    35.19                                                                 1990
     3.16    17.78    31.40    33.37    38.69                                                                 1991
     0.00    32.03    41.10    18.00    33.48                                                                 1992
     0.00    47.43   107.10    37.77   138.56                                                                 1993
     1.18    21.54    64.10    16.56    31.26                                                                 1994
     1.76    44.87    60.90    41.85   100.71                                                                 1995
     0.49    43.25    66.20    36.41   109.81                                                                 1996
     0.77    60.67    97.00    17.90   128.96                                                                 1997
     1.00    49.52    94.00    45.10   113.21                                                                 1998
     0.79    46.73   124.90    12.31   141.02                                                                 1999
     0.41    43.46    93.70    15.52    89.20                                                                 2000
     0.38    28.67    57.00    13.40    36.95                                                                 2001
     0.11    30.66    80.70    12.51    58.65                                                                 2002
     0.00    24.09    38.20    31.84    53.63                                                                 2003
