Date,0,20000,40000,60000,80000,100000,120000,140000,160000,180000,200000
1/1/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/2/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/3/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/4/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/5/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/6/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/7/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/8/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/9/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/10/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/11/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/12/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/13/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/14/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/15/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/16/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/17/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/18/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/19/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/20/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/21/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/22/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/23/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/24/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/25/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/26/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/27/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/28/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/29/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/30/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
1/31/2011 0:00,0,0,0,0,0,0,0,0,0,0,0
2/1/2011 0:00,0,0,0,0,0,0,3536.544085,18340.0836,21000,21000,21000
2/2/2011 0:00,0,0,0,0,0,0,4127.319157,18930.85867,21000,21000,21000
2/3/2011 0:00,0,0,0,0,0,0,4718.09423,19521.63374,21000,21000,21000
2/4/2011 0:00,0,0,0,0,0,0,5308.869302,20112.40882,21000,21000,21000
2/5/2011 0:00,0,0,0,0,0,0,5899.644375,20703.18389,21000,21000,21000
2/6/2011 0:00,0,0,0,0,0,0,6490.419447,21000,21000,21000,21000
2/7/2011 0:00,0,0,0,0,0,0,7081.19452,21000,21000,21000,21000
2/8/2011 0:00,0,0,0,0,0,0,7671.969593,21000,21000,21000,21000
2/9/2011 0:00,0,0,0,0,0,0,8262.744665,21000,21000,21000,21000
2/10/2011 0:00,0,0,0,0,0,0,8853.519738,21000,21000,21000,21000
2/11/2011 0:00,0,0,0,0,0,0,9444.29481,21000,21000,21000,21000
2/12/2011 0:00,0,0,0,0,0,0,10035.06988,21000,21000,21000,21000
2/13/2011 0:00,0,0,0,0,0,0,10625.84496,21000,21000,21000,21000
2/14/2011 0:00,0,0,0,0,0,0,11216.62003,21000,21000,21000,21000
2/15/2011 0:00,0,0,0,0,0,0,11807.3951,21000,21000,21000,21000
2/16/2011 0:00,0,0,0,0,0,0,12398.17017,21000,21000,21000,21000
2/17/2011 0:00,0,0,0,0,0,0,12988.94525,21000,21000,21000,21000
2/18/2011 0:00,0,0,0,0,0,0,13579.72032,21000,21000,21000,21000
2/19/2011 0:00,0,0,0,0,0,0,14170.49539,21000,21000,21000,21000
