Date,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000,3100000,3200000,3300000,3400000,3500000,3600000,3700000,3800000,3900000,4000000,4100000,4200000,4300000,4400000,4500000,4600000,4700000,4800000,4900000,5000000,10000000
1-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27135.71947,137080.184,137080.184
5-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10482.75788,113442.1041,220241.9231,332442.4662,332442.4662
10-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43370.28708,149189.2128,255373.1351,360705.2419,465455.9123,571590.2577,571590.2577
15-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72569.0977,179667.179,287355.0894,393216.2626,495694.904,594328.4629,689955.7482,784904.9986,784904.9986
20-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99759.73967,205482.4807,312252.6371,417870.4917,520393.913,618378.0552,711102.2137,798778.4994,882737.6942,965595.7989,965595.7989
25-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17555.63772,123258.2821,227117.165,332580.4026,436441.0283,537552.7838,634726.1748,726956.3485,813634.6773,894748.6535,971064.8366,1044290.519,1117216.81,1117216.81
1-Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24472.05071,129796.947,233715.7219,334856.9861,434432.593,533059.5054,629138.1886,720419.3655,806840.3561,888262.077,964651.9752,1036253.149,1103743.214,1168378.014,1232116.086,1297725.777,1297725.777
5-Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92441.5186,197619.6566,301714.982,402252.341,498399.0871,591856.249,687101.1994,774447.8834,856828.0055,934539.7905,1007801.997,1076909.464,1142376.278,1205069.494,1266328.736,1328067.651,1392858.861,1392858.861
