Date,0,10000,20000,30000,40000,50000,60000,70000,80000,90000,100000
3/2/2011 0:00,0,312.6448737,4165.890352,6723.534992,8928.942857,11266.0072,13422.85707,15737.9953,16500,16500,16500
3/3/2011 0:00,0,371.4193639,4222.584971,6781.858373,8986.792565,11323.66444,13478.00174,15797.5481,16500,16500,16500
3/4/2011 0:00,0,430.0728277,4279.327611,6840.152065,9044.63637,11381.35903,13533.05878,15857.63668,16500,16500,16500
3/5/2011 0:00,0,488.6173587,4336.124289,6898.417123,9102.475326,11439.09562,13588.04045,15918.31676,16500,16500,16500
3/6/2011 0:00,0,547.0646256,4392.9806,6956.654601,9160.310487,11496.87884,13642.95947,15979.64508,16500,16500,16500
3/7/2011 0:00,0,605.4258719,4449.90171,7014.865553,9218.142908,11554.71331,13697.82902,16041.67921,16500,16500,16500
3/8/2011 0:00,0,663.7119158,4506.892363,7073.051033,9275.973643,11612.6035,13752.66259,16104.47758,16500,16500,16500
3/9/2011 0:00,0,721.9331504,4563.956876,7131.212095,9333.803745,11670.55367,13807.47396,16168.09935,16500,16500,16500
3/10/2011 0:00,0,780.0995438,4621.099141,7189.349793,9391.63427,11728.56782,13862.2771,16232.60433,16500,16500,16500
3/11/2011 0:00,0,838.2206387,4678.322625,7247.465183,9449.46627,11786.64961,13917.08611,16298.05294,16500,16500,16500
3/12/2011 0:00,0,896.3055528,4735.630371,7305.559316,9507.300801,11844.80226,13971.91512,16364.50613,16500,16500,16500
3/13/2011 0:00,0,954.3629786,4793.024996,7363.633249,9565.138916,11903.0285,14026.77827,16432.02528,16500,16500,16500
3/14/2011 0:00,0,1012.401183,4850.50869,7421.688035,9622.981671,11961.33051,14081.68956,16500,16500,16500,16500
3/15/2011 0:00,0,1070.42801,4908.083222,7479.724728,9680.830117,12019.70979,14136.66286,16500,16500,16500,16500
3/16/2011 0:00,0,1128.450874,4965.749932,7537.744383,9738.685311,12078.16716,14191.71177,16500,16500,16500,16500
3/17/2011 0:00,0,1186.476768,5023.509736,7595.748053,9796.548306,12136.70264,14246.84958,16500,16500,16500,16500
3/18/2011 0:00,0,1244.512259,5081.363126,7653.736793,9854.420157,12195.31538,14302.08919,16500,16500,16500,16500
3/19/2011 0:00,0,1302.563489,5139.310168,7711.711657,9912.301917,12254.00359,14357.44303,16500,16500,16500,16500
3/20/2011 0:00,0,1360.636173,5197.350502,7769.673698,9970.19464,12312.76449,14412.92298,16500,16500,16500,16500
3/21/2011 0:00,0,1418.735604,5255.483344,7827.623973,10028.09938,12371.59419,14468.54035,16500,16500,16500,16500
3/22/2011 0:00,0,1476.866646,5313.707485,7885.563533,10086.01719,12430.48767,14524.30571,16500,16500,16500,16500
3/23/2011 0:00,0,1535.033742,5372.021289,7943.493434,10143.94913,12489.43867,14580.2289,16500,16500,16500,16500
3/24/2011 0:00,0,1593.240906,5430.422698,8001.41473,10201.89625,12548.4396,14636.31893,16500,16500,16500,16500
3/25/2011 0:00,0,1651.491729,5488.909225,8059.328475,10259.85961,12607.48154,14692.58389,16500,16500,16500,16500
3/26/2011 0:00,0,1709.789378,5547.477962,8117.235722,10317.84025,12666.55408,14749.0309,16500,16500,16500,16500
3/27/2011 0:00,0,1768.136591,5606.125572,8175.137527,10375.83924,12725.64529,14805.66602,16500,16500,16500,16500
3/28/2011 0:00,0,1826.535685,5664.848295,8233.034944,10433.85762,12784.74167,14862.49418,16500,16500,16500,16500
3/29/2011 0:00,0,1884.988549,5723.641946,8290.929026,10491.89645,12843.828,14919.51911,16500,16500,16500,16500
3/30/2011 0:00,0,1943.496648,5782.501913,8348.820828,10549.95679,12902.88737,14976.74328,16500,16500,16500,16500
3/31/2011 0:00,0,2002.061021,5841.423161,8406.711403,10608.03969,12961.901,15034.16779,16500,16500,16500,16500
4/1/2011 0:00,0,2060.682284,5900.400229,8464.601807,10666.1462,13020.84825,15091.79234,16500,16500,16500,16500
4/2/2011 0:00,0,2119.360625,5959.42723,8522.493093,10724.27738,13079.70649,15149.61511,16500,16500,16500,16500
4/3/2011 0:00,0,2178.095809,6018.497853,8580.386315,10782.43429,13138.45108,15207.63273,16500,16500,16500,16500
4/4/2011 0:00,0,2236.887175,6077.605362,8638.282528,10840.61797,13197.05524,15265.84019,16500,16500,16500,16500
4/5/2011 0:00,0,2295.733636,6136.742594,8696.182786,10898.82947,13255.49001,15324.23075,16500,16500,16500,16500
4/6/2011 0:00,0,2354.633681,6195.901964,8754.088142,10957.06987,13313.72418,15382.79588,16500,16500,16500,16500
4/7/2011 0:00,0,2413.585375,6255.075458,8811.999652,11015.3402,13371.72418,15441.52521,16500,16500,16500,16500
4/8/2011 0:00,0,2472.586354,6314.254639,8869.918369,11073.64152,13429.45406,15500.4064,16500,16500,16500,16500
4/9/2011 0:00,0,2531.633834,6373.430646,8927.845347,11131.97489,13486.87538,15559.42513,16188.67925,16188.67925,16188.67925,16188.67925
4/10/2011 0:00,0,2590.7246,6432.594191,8985.781641,11190.34137,13543.94714,15618.56497,15877.35849,15877.35849,15877.35849,15877.35849
4/11/2011 0:00,0,2649.855017,6491.73556,9043.728304,11248.742,13600.62571,15566.03774,15566.03774,15566.03774,15566.03774,15566.03774
4/12/2011 0:00,0,2709.021023,6550.844617,9101.686392,11307.17783,13656.86477,15254.71698,15254.71698,15254.71698,15254.71698,15254.71698
4/13/2011 0:00,0,2768.218129,6609.910798,9159.656957,11365.64993,13712.61521,14943.39623,14943.39623,14943.39623,14943.39623,14943.39623
