Date,0,100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000,3100000,3200000,3300000,3400000,3500000,3600000,3700000,3800000,3900000,4000000,4100000,4200000,4300000,4400000,4500000,4600000,4700000,4800000,4900000,5000000
2/14/2011 0:00,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000
2/15/2011 0:00,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000
2/16/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5266.038996,12192.17784,17773.03237,22678.73614,27579.43944,35910.91943,37944.9959,40996.83732,44571.91378,48628.08959,52948.37633,61004.76223,67762.26669,75578.14391,84498.94708,93120.47321,97804.27336,103488.0457,107034.0839,109876.5328,116444.532,124720.7427,132120.9302,139081.1635,145922.182,152849.2593,159952.3187,167205.8685,174469.0528,181485.5121,187883.5931,187883.5931,187883.5931,187883.5931,187883.5931,187883.5931
2/17/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9038.037516,16291.96306,22207.33631,27454.29043,32702.9765,40811.7081,43410.11139,46936.75198,50907.7391,55291.58039,59862.69723,68378.64822,75500.16726,83604.31162,92757.44067,101230.6257,106580.8897,113012.4634,117346.4528,120975.8224,128627.0005,137096.3247,144756.3263,152043.4037,159278.6289,166667.6045,174300.5857,182152.4117,190082.5608,197834.9982,205038.4044,205038.4044,205038.4044,205038.4044,205038.4044,205038.4044
2/18/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12788.69933,20367.69103,26614.86247,32200.34639,37794.29469,45725.33743,48879.05005,52872.80043,57233.33696,61939.81058,66764.50004,75741.16407,83229.37337,91625.98823,101017.1743,109395.0586,115395.6508,122558.1821,127662.5713,132060.6024,140734.8565,149401.5711,157323.2812,164936.7152,172563.2774,180408.8995,188564.1684,197004.2544,205588.9699,214062.6048,222054.1735,222054.1735,222054.1735,222054.1735,222054.1735,222054.1735
2/19/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16517.95094,24419.28826,30995.53735,36916.83054,42853.32053,50649.70251,54349.7819,58803.0276,63546.82723,68570.97499,73651.639,83090.01417,90947.43956,99640.57844,109275.4027,117608.0655,124243.1214,132120.0381,137977.5469,143126.2516,152766.756,161635.0806,169820.3368,177759.5827,185774.555,194071.5146,202741.3801,211759.6527,220986.4791,230166.4737,238928.9851,238928.9851,238928.9851,238928.9851,238928.9851,238928.9851
2/20/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20225.71883,28446.68123,35349.28743,41603.66936,47879.98051,55582.73583,59820.31435,64725.51585,69846.36719,75183.3058,80522.01574,90422.95032,98651.96776,107645.5344,117529.4283,125864.0575,133117.9841,141692.9853,148286.6052,154168.2668,164721.3746,173795.4717,182246.0544,190510.5103,198910.9087,207653.8396,216830.5534,226416.8821,236273.3065,246144.7662,255660.9431,255660.9431,255660.9431,255660.9431,255660.9431,255660.9431
2/21/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23911.92951,32449.79645,39676.03922,46260.78934,52874.20111,60522.40726,65288.69222,70638.38491,76130.1515,81775.07262,87373.57926,97737.77165,106340.6073,115638.3554,125776.6005,134157.5635,142015.0392,151272.0954,158585.0891,165182.2626,176597.4069,185881.3819,194599.0142,203188.0212,211970.8047,221154.2836,230830.0401,240974.2373,251447.69,261995.6626,272248.171,272248.171,272248.171,272248.171,272248.171,272248.171
2/22/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27576.50946,36428.56041,43975.71921,50888.11699,57835.90884,65466.72408,70752.9977,76539.79192,82396.41222,88344.58243,94204.32594,105032.3247,114011.0548,123616.5885,134014.3165,142483.2305,150929.205,160852.5581,168868.4596,176163.9712,188393.5671,197891.4682,206877.8163,215790.6583,224952.7285,234571.2749,244738.2116,255430.0325,266507.8863,277717.3628,288688.8113,288688.8113,288688.8113,288688.8113,288688.8113,288688.8113
2/23/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2978.087121,31219.38518,40382.8996,48248.25389,55485.57881,62765.03019,70413.73097,76211.3504,82427.9314,88643.41883,94890.17963,101012.2995,112304.5034,121661.0544,131577.8278,142240.0206,150835.8228,159855.5174,170429.6807,179132.2955,187109.2428,200108.5886,209824.407,219081.0798,228316.9835,237855.1849,247903.2613,258553.4584,269782.6011,281452.1719,293308.0859,304981.0262,304981.0262,304981.0262,304981.0262,304981.0262,304981.0262
2/24/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6563.747665,34840.48317,44312.74051,52493.56976,60053.10127,67661.49165,75361.51,81661.90732,88301.0353,94869.47816,101410.246,107795.5912,119552.249,129288.3975,139519.7149,150451.2045,159210.2229,168789.13,179998.8882,189372.2933,198014.0453,211741.2243,221678.8939,231207.4431,240765.5782,250676.6983,261148.7099,272274.1905,284030.2959,296278.8425,308766.0706,321122.997,321122.997,321122.997,321122.997,321122.997,321122.997
2/25/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10133.0434,38439.72993,48218.00966,56711.59332,64590.61089,72525.21973,80308.18064,87102.86285,94157.37292,101072.9345,107903.2007,114552.3394,126773.5503,136890.923,147439.9388,158645.4074,167601.431,177725.3146,189555.7237,199584.2672,208874.4643,223290.2464,233453.6439,243255.5642,253135.0431,263415.8122,274306.1071,285898.8372,298171.489,310986.2129,324089.5746,337112.9244,337112.9244,337112.9244,337112.9244,337112.9244,337112.9244
2/26/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13685.66669,42017.05194,52098.63352,60902.25106,69098.03415,77356.14092,85251.89974,92532.44879,99995.251,107252.1694,114367.5004,121280.7301,133966.4432,144466.517,155336.2359,166820.2158,176004.565,186659.4603,199095.8478,209764.1495,219686.7033,234754.4462,245147.3914,255224.1202,265423.9982,276071.0894,287373.9587,299425.847,312204.572,325572.6175,339276.8751,352949.0284,352949.0284,352949.0284,352949.0284,352949.0284,352949.0284
2/27/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17221.31468,45572.37571,55954.5386,65065.46948,73575.29755,82154.18171,90190.86157,97948.93433,105813.0136,113405.6021,120801.639,127978.9965,141129.0111,152013.1132,163206.3898,174973.2636,184414.8605,195587.0743,208615.039,219907.9898,230447.0837,246132.6346,256758.8899,267111.8077,277631.0829,288641.1123,300350.7897,312853.688,326127.9556,340036.41,354326.2686,368629.5485,368629.5485,368629.5485,368629.5485,368629.5485,368629.5485
2/28/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20739.68934,49105.62772,59785.65138,69201.17506,78022.32759,86919.26859,95123.29779,103350.6261,111609.0424,119531.6889,127204.1478,134645.4194,148259.385,159528.6925,171048.2318,183102.232,192827.6712,204503.7816,218109.1937,230011.956,241152.0445,257423.6417,268286.9126,278917.3425,289754.9561,301124.4824,313235.1447,326180.8473,339940.0699,354375.9634,369236.071,384152.7433,384152.7433,384152.7433,384152.7433,384152.7433,384152.7433
3/1/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,3052.589295,27723.45039,56105.62248,67373.20607,77389.75374,86825.39356,96350.28664,104961.707,114103.0414,123129.6111,131695.8375,139908.5889,147876.0937,162416.3105,174458.961,186638.5412,199278.8928,209642.8409,222287.5642,237006.5673,250085.5256,262382.0524,279739.5296,291087.7191,302276.9142,313747.799,325825.7673,338720.7007,352527.1672,367224.3082,382675.9416,398630.2627,414720.2886,414720.2886,414720.2886,414720.2886,414720.2886,414720.2886
3/2/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,6476.925977,31188.26466,59572.21821,71129.50096,81442.47981,91181.28248,101016.0708,109864.3302,119450.5651,128851.1012,137730.9993,146207.7708,154437.1435,169439.3607,181869.8492,194382.9077,207322.1846,218036.4959,231146.4783,246402.1678,260048.0532,272900.5665,290762.1673,302358.1456,313828.4796,325614.1829,338040.9819,351319.0873,365543.399,380693.3892,396633.2091,413111.3804,429761.2533,429761.2533,429761.2533,429761.2533,429761.2533,429761.2533
3/3/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,9885.884794,34634.66132,63016.44818,74860.70954,85467.39904,95506.64402,105648.607,114753.7285,124776.8953,134544.7573,143733.015,152469.8224,160959.946,176423.2138,189242.118,202090.7605,215332.5959,226415.258,239978.1632,255757.4948,269956.5553,283350.5952,301693.1378,313540.3816,325292.9492,337392.1835,350164.1434,363819.369,378453.0918,394045.1149,410459.9229,427446.3639,444638.121,444638.121,444638.121,444638.121,444638.121,444638.121
3/4/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,13279.1336,38062.36629,66438.23887,78566.75831,89464.43791,99801.40467,110247.8218,119628.3203,130080.5256,140209.148,149700.5279,158693.4621,167443.0189,183366.2375,196573.9855,209760.1676,223308.0449,234775.0697,248778.8326,265069.0335,279807.7885,293729.1665,312531.3679,324633.297,336669.1355,349080.5561,362193.9501,376220.1868,391254.8295,407278.0122,424154.5527,441633.6256,459349.2471,459349.2471,459349.2471,459349.2471,459349.2471,459349.2471
3/5/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,16656.34505,41471.11028,69837.51678,82247.57376,93433.52293,104065.4909,114813.6417,124486.5618,135359.9869,145842.8793,155632.2189,164877.4457,173884.9271,190266.8468,203863.7168,217389.2443,231246.4971,243111.9912,257544.8183,274333.387,289598.6271,304033.4261,323275.8038,335635.7806,347955.8705,360678.0756,374129.1196,388520.2013,403947.2155,420390.6274,437715.5876,455671.5975,473893.0064,473893.0064,473893.0064,473893.0064,473893.0064,473893.0064
3/6/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,20017.19658,44860.6288,73214.2084,85903.08239,97374.58059,108298.8293,119345.9931,129326.9464,140613.8476,151444.5943,161526.8063,171020.5662,180284.2828,197123.5044,211109.6245,224976.1535,239145.9655,251422.2005,266272.5695,283547.276,299326.0635,314260.6377,333925.4111,346546.7409,359152.0053,372183.536,385968.3889,400718.0922,416528.8725,433381.5258,451141.5358,469558.7308,488267.7929,488267.7929,488267.7929,488267.7929,488267.7929,488267.7929
3/7/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,23361.37044,48230.66215,76568.24024,89533.21069,101287.5374,112501.3462,123844.8026,134148.0049,145840.7134,157012.9738,167383.0456,177121.6543,186639.7458,203934.7199,218310.0686,232519.1053,247004.5104,259701.9936,274958.6537,292707.5393,308987.2075,324408.1825,344479.1745,357365.1057,370256.4106,383595.7507,397710.5142,412812.5588,428998.4425,446249.2924,464430.9252,483293.4961,502472.0201,502472.0201,502472.0201,502472.0201,502472.0201,502472.0201
3/8/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,2434.699152,26688.55365,51580.9554,79899.53879,93137.88516,105172.3198,116672.9683,128309.9967,138948.3055,151039.2274,162546.7358,173199.7298,183179.5778,192950.0232,210699.0507,225463.4566,240016.3572,254820.2394,267947.7839,283599.7558,301811.1331,318579.287,334473.5599,354936.0983,368089.8219,381267.9764,394913.5525,409354.2712,424802.3193,441354.5868,458992.5313,477582.3028,496874.3833,516504.1208,516504.1208,516504.1208,516504.1208,516504.1208,516504.1208
3/9/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,5683.828413,29998.43804,54911.25846,83208.03053,96717.0323,109028.8543,120813.6219,132741.5018,143726.4538,156208.0704,168044.6358,178975.6894,189193.2421,199213.8693,217415.1013,232568.2431,247466.2141,262591.3076,276156.1031,292192.6785,310855.1316,328099.6475,344454.3868,365295.206,378719.856,392185.6117,406135.7936,420898.4549,436686.1118,453595.986,471609.8662,490594.235,510299.9017,530362.547,530362.547,530362.547,530362.547,530362.547,530362.547
3/10/2011 0:00,0,0,0,0,0,0,0,0,0,0,0,0,8918.492573,33290.72022,58221.326,86493.64198,100270.5786,112857.0675,124923.2337,137139.2444,148481.093,161345.96,173505.4668,184709.7922,195161.59,205430.086,224081.5236,239622.9303,254867.0283,270315.9174,284323.6002,300734.3425,319836.727,337545.7525,354348.3978,375555.5406,389254.1937,403008.2453,417261.3454,432341.8795,448462.6934,465721.3403,484099.9398,503465.3075,523568.5798,544045.7702,544045.7702,544045.7702,544045.7702,544045.7702,544045.7702
