
---------- TRIAL1.TXT
Warning hya_mm 0.0686813186813187  hyd0:43.68  hyd1: 43.7132291666667
Warning orfi_wy -0.0971817298347911  hyd0:10.29  hyd1: 10.2842105263158
Warning owy_mm -0.0607164541590771  hyd0:49.41  hyd1: 49.378125
Warning owy_pc -0.2  hyd0:5  hyd1: 4.99
Warning crsi_wy 0.121506682867558  hyd0:8.23  hyd1: 8.23645833333333
Warning orci_wz 0.15280506439642  hyd0:45.81  hyd1: 45.8834782608696
Warning pali_mm -0.138504155124654  hyd0:43.32  hyd1: 43.25625
Warning mafo_wz -0.0994233446013124  hyd0:50.29  hyd1: 50.2405208333333
Warning yrww_qd -20.2310881204752  hyd0:827.39  hyd1: 659.995164019446
Warning yumw_qd -20.8090520590521  hyd0:617.76  hyd1: 489.208241342016
Warning grzo_mm 0.162041725744379  hyd0:49.37  hyd1: 49.4465625
Warning ark_mm -0.115696104897802  hyd0:51.86  hyd1: 51.8010416666667
Warning almw_mm 0.0637213254035684  hyd0:47.08  hyd1: 47.1052083333333
Warning almw_pc -0.123762376237624  hyd0:8.08  hyd1: 8.07
Warning ocwo_mm 0.0696702275894101  hyd0:43.06  hyd1: 43.0922916666667
Warning and_mm -0.0590318772136954  hyd0:50.82  hyd1: 50.7916666666667
Warning bcmo_qd 0.167541606165531  hyd0:89.53  hyd1: 89.6770833333333
Warning miii_qj 0.330332386266388  hyd0:584.26  hyd1: 586.1875
Warning jkny_mm -0.0550206327372765  hyd0:36.35  hyd1: 36.3260416666667
Warning vlvi_mm -0.139120756816917  hyd0:35.94  hyd1: 35.8864583333333
Warning scoo_mm 0.0635458589281932  hyd0:47.21  hyd1: 47.2392708333333
Warning gcky_mm -0.064998375040624  hyd0:30.77  hyd1: 30.7489583333333
Warning alty_mm -0.101522842639594  hyd0:39.4  hyd1: 39.359375
Warning hkby_mm -0.0634719136781974  hyd0:31.51  hyd1: 31.4864583333333
Warning hkby_pc -0.106269925611052  hyd0:9.41  hyd1: 9.4
