yyyyMMMdd hhmm cbtt     PC        NewValue   OldValue   Flag user:hydromet # DECODES output
2015JAN21 0115 MABO     GH        2.63       998877.00  -01
2015JAN21 0100 MABO     GH        2.60       998877.00  -01
2015JAN21 0045 MABO     GH        2.54       998877.00  -01
2015JAN21 0230 MABO     WF        33.50      998877.00  -01
2015JAN21 0215 MABO     WF        33.50      998877.00  -01
2015JAN21 0200 MABO     WF        33.60      998877.00  -01
2015JAN21 0145 MABO     WF        33.50      998877.00  -01
2015JAN21 0130 MABO     WF        33.50      998877.00  -01
2015JAN21 0115 MABO     WF        33.50      998877.00  -01
2015JAN21 0100 MABO     WF        33.50      998877.00  -01
2015JAN21 0045 MABO     WF        33.60      998877.00  -01
2015JAN21 0200 MABO     BATVOLT   12.24      998877.00  -01
2015JAN21 0130 MABO     GH        2.64       998877.00  -01
2015JAN21 0115 MABO     GH        2.63       998877.00  -01
2015JAN21 0100 MABO     GH        2.60       998877.00  -01
2015JAN21 0045 MABO     GH        2.54       998877.00  -01
2015JAN21 0030 MABO     GH        2.49       998877.00  -01
2015JAN21 0015 MABO     GH        2.47       998877.00  -01
2015JAN21 0000 MABO     GH        2.45       998877.00  -01
2015JAN20 2345 MABO     GH        2.44       998877.00  -01
2015JAN21 0130 MABO     WF        33.50      998877.00  -01
2015JAN21 0115 MABO     WF        33.50      998877.00  -01
2015JAN21 0100 MABO     WF        33.50      998877.00  -01
2015JAN21 0045 MABO     WF        33.60      998877.00  -01
2015JAN21 0030 MABO     WF        33.50      998877.00  -01
2015JAN21 0015 MABO     WF        33.50      998877.00  -01
2015JAN21 0000 MABO     WF        33.50      998877.00  -01
2015JAN20 2345 MABO     WF        33.60      998877.00  -01
2015JAN21 0100 MABO     BATVOLT   12.24      998877.00  -01
2015JAN21 0030 MABO     GH        2.49       998877.00  -01
2015JAN21 0015 MABO     GH        2.47       998877.00  -01
2015JAN21 0000 MABO     GH        2.45       998877.00  -01
2015JAN20 2345 MABO     GH        2.44       998877.00  -01
2015JAN20 2330 MABO     GH        2.44       998877.00  -01
2015JAN20 2315 MABO     GH        2.43       998877.00  -01
2015JAN20 2300 MABO     GH        2.40       998877.00  -01
2015JAN20 2245 MABO     GH        2.38       998877.00  -01
2015JAN21 0030 MABO     WF        33.50      998877.00  -01
2015JAN21 0015 MABO     WF        33.50      998877.00  -01
2015JAN21 0000 MABO     WF        33.50      998877.00  -01
2015JAN20 2345 MABO     WF        33.60      998877.00  -01
2015JAN20 2330 MABO     WF        33.60      998877.00  -01
2015JAN20 2315 MABO     WF        33.50      998877.00  -01
2015JAN20 2300 MABO     WF        33.60      998877.00  -01
2015JAN20 2245 MABO     WF        33.50      998877.00  -01
2015JAN21 0000 MABO     BATVOLT   12.24      998877.00  -01
2015JAN20 2330 MABO     GH        2.44       998877.00  -01
2015JAN20 2315 MABO     GH        2.43       998877.00  -01
2015JAN20 2300 MABO     GH        2.40       998877.00  -01
2015JAN20 2245 MABO     GH        2.38       998877.00  -01
2015JAN20 2230 MABO     GH        2.37       998877.00  -01
2015JAN20 2215 MABO     GH        2.37       998877.00  -01
2015JAN20 2200 MABO     GH        2.37       998877.00  -01
2015JAN20 2145 MABO     GH        2.38       998877.00  -01
2015JAN20 2330 MABO     WF        33.60      998877.00  -01
2015JAN20 2315 MABO     WF        33.50      998877.00  -01
2015JAN20 2300 MABO     WF        33.60      998877.00  -01
2015JAN20 2245 MABO     WF        33.50      998877.00  -01
2015JAN20 2230 MABO     WF        33.50      998877.00  -01
2015JAN20 2215 MABO     WF        33.50      998877.00  -01
2015JAN20 2200 MABO     WF        33.40      998877.00  -01
2015JAN20 2145 MABO     WF        33.40      998877.00  -01
2015JAN20 2300 MABO     BATVOLT   12.24      998877.00  -01
2015JAN20 2230 MABO     GH        2.37       998877.00  -01
2015JAN20 2215 MABO     GH        2.37       998877.00  -01
2015JAN20 2200 MABO     GH        2.37       998877.00  -01
2015JAN20 2145 MABO     GH        2.38       998877.00  -01
2015JAN20 2130 MABO     GH        2.38       998877.00  -01
2015JAN20 2115 MABO     GH        2.38       998877.00  -01
2015JAN20 2100 MABO     GH        2.39       998877.00  -01
2015JAN20 2045 MABO     GH        2.39       998877.00  -01
2015JAN20 2230 MABO     WF        33.50      998877.00  -01
2015JAN20 2215 MABO     WF        33.50      998877.00  -01
2015JAN20 2200 MABO     WF        33.40      998877.00  -01
2015JAN20 2145 MABO     WF        33.40      998877.00  -01
2015JAN20 2130 MABO     WF        33.50      998877.00  -01
2015JAN20 2115 MABO     WF        33.80      998877.00  -01
2015JAN20 2100 MABO     WF        33.80      998877.00  -01
2015JAN20 2045 MABO     WF        33.90      998877.00  -01
2015JAN20 2200 MABO     BATVOLT   12.47      998877.00  -01
2015JAN20 2130 MABO     GH        2.38       998877.00  -01
2015JAN20 2115 MABO     GH        2.38       998877.00  -01
2015JAN20 2100 MABO     GH        2.39       998877.00  -01
2015JAN20 2045 MABO     GH        2.39       998877.00  -01
2015JAN20 2030 MABO     GH        2.40       998877.00  -01
2015JAN20 2015 MABO     GH        2.41       998877.00  -01
2015JAN20 2000 MABO     GH        2.41       998877.00  -01
2015JAN20 1945 MABO     GH        2.40       998877.00  -01
2015JAN20 2130 MABO     WF        33.50      998877.00  -01
2015JAN20 2115 MABO     WF        33.80      998877.00  -01
2015JAN20 2100 MABO     WF        33.80      998877.00  -01
2015JAN20 2045 MABO     WF        33.90      998877.00  -01
2015JAN20 2030 MABO     WF        34.00      998877.00  -01
2015JAN20 2015 MABO     WF        34.10      998877.00  -01
2015JAN20 2000 MABO     WF        34.30      998877.00  -01
2015JAN20 1945 MABO     WF        34.50      998877.00  -01
2015JAN20 2100 MABO     BATVOLT   12.47      998877.00  -01
2015JAN20 2030 MABO     GH        2.40       998877.00  -01
2015JAN20 2015 MABO     GH        2.41       998877.00  -01
2015JAN20 2000 MABO     GH        2.41       998877.00  -01
2015JAN20 1945 MABO     GH        2.40       998877.00  -01
2015JAN20 1930 MABO     GH        2.39       998877.00  -01
2015JAN20 1915 MABO     GH        2.39       998877.00  -01
2015JAN20 1900 MABO     GH        2.39       998877.00  -01
2015JAN20 1845 MABO     GH        2.38       998877.00  -01
2015JAN20 2030 MABO     WF        34.00      998877.00  -01
2015JAN20 2015 MABO     WF        34.10      998877.00  -01
2015JAN20 2000 MABO     WF        34.30      998877.00  -01
2015JAN20 1945 MABO     WF        34.50      998877.00  -01
2015JAN20 1930 MABO     WF        34.70      998877.00  -01
2015JAN20 1915 MABO     WF        34.70      998877.00  -01
2015JAN20 1900 MABO     WF        35.00      998877.00  -01
2015JAN20 1845 MABO     WF        34.90      998877.00  -01
2015JAN20 2000 MABO     BATVOLT   12.47      998877.00  -01
2015JAN20 1930 MABO     GH        2.39       998877.00  -01
2015JAN20 1915 MABO     GH        2.39       998877.00  -01
2015JAN20 1900 MABO     GH        2.39       998877.00  -01
2015JAN20 1845 MABO     GH        2.38       998877.00  -01
2015JAN20 1830 MABO     GH        2.37       998877.00  -01
2015JAN20 1815 MABO     GH        2.37       998877.00  -01
2015JAN20 1800 MABO     GH        2.37       998877.00  -01
2015JAN20 1745 MABO     GH        2.39       998877.00  -01
2015JAN20 1930 MABO     WF        34.70      998877.00  -01
2015JAN20 1915 MABO     WF        34.70      998877.00  -01
2015JAN20 1900 MABO     WF        35.00      998877.00  -01
2015JAN20 1845 MABO     WF        34.90      998877.00  -01
2015JAN20 1830 MABO     WF        35.00      998877.00  -01
2015JAN20 1815 MABO     WF        35.00      998877.00  -01
2015JAN20 1800 MABO     WF        35.10      998877.00  -01
2015JAN20 1745 MABO     WF        35.10      998877.00  -01
2015JAN20 1900 MABO     BATVOLT   12.47      998877.00  -01
2015JAN20 1830 MABO     GH        2.37       998877.00  -01
2015JAN20 1815 MABO     GH        2.37       998877.00  -01
2015JAN20 1800 MABO     GH        2.37       998877.00  -01
2015JAN20 1745 MABO     GH        2.39       998877.00  -01
2015JAN20 1730 MABO     GH        2.41       998877.00  -01
2015JAN20 1715 MABO     GH        2.42       998877.00  -01
2015JAN20 1700 MABO     GH        2.41       998877.00  -01
2015JAN20 1645 MABO     GH        2.41       998877.00  -01
2015JAN20 1830 MABO     WF        35.00      998877.00  -01
2015JAN20 1815 MABO     WF        35.00      998877.00  -01
2015JAN20 1800 MABO     WF        35.10      998877.00  -01
2015JAN20 1745 MABO     WF        35.10      998877.00  -01
2015JAN20 1730 MABO     WF        35.10      998877.00  -01
2015JAN20 1715 MABO     WF        35.20      998877.00  -01
2015JAN20 1700 MABO     WF        35.10      998877.00  -01
2015JAN20 1645 MABO     WF        35.20      998877.00  -01
2015JAN20 1800 MABO     BATVOLT   12.47      998877.00  -01
2015JAN20 1730 MABO     GH        2.41       998877.00  -01
2015JAN20 1715 MABO     GH        2.42       998877.00  -01
2015JAN20 1700 MABO     GH        2.41       998877.00  -01
2015JAN20 1645 MABO     GH        2.41       998877.00  -01
2015JAN20 1630 MABO     GH        2.41       998877.00  -01
2015JAN20 1615 MABO     GH        2.43       998877.00  -01
2015JAN20 1600 MABO     GH        2.43       998877.00  -01
2015JAN20 1545 MABO     GH        2.43       998877.00  -01
2015JAN20 1730 MABO     WF        35.10      998877.00  -01
2015JAN20 1715 MABO     WF        35.20      998877.00  -01
2015JAN20 1700 MABO     WF        35.10      998877.00  -01
2015JAN20 1645 MABO     WF        35.20      998877.00  -01
2015JAN20 1630 MABO     WF        35.20      998877.00  -01
2015JAN20 1615 MABO     WF        35.40      998877.00  -01
2015JAN20 1600 MABO     WF        35.60      998877.00  -01
2015JAN20 1545 MABO     WF        35.90      998877.00  -01
2015JAN20 1700 MABO     BATVOLT   12.47      998877.00  -01
2015JAN20 1630 MABO     GH        2.41       998877.00  -01
2015JAN20 1615 MABO     GH        2.43       998877.00  -01
2015JAN20 1600 MABO     GH        2.43       998877.00  -01
2015JAN20 1545 MABO     GH        2.43       998877.00  -01
2015JAN20 1530 MABO     GH        2.43       998877.00  -01
2015JAN20 1515 MABO     GH        2.44       998877.00  -01
2015JAN20 1500 MABO     GH        2.44       998877.00  -01
2015JAN20 1445 MABO     GH        2.44       998877.00  -01
2015JAN20 1630 MABO     WF        35.20      998877.00  -01
2015JAN20 1615 MABO     WF        35.40      998877.00  -01
2015JAN20 1600 MABO     WF        35.60      998877.00  -01
2015JAN20 1545 MABO     WF        35.90      998877.00  -01
2015JAN20 1530 MABO     WF        36.00      998877.00  -01
2015JAN20 1515 MABO     WF        36.20      998877.00  -01
2015JAN20 1500 MABO     WF        36.30      998877.00  -01
2015JAN20 1445 MABO     WF        36.30      998877.00  -01
2015JAN20 1600 MABO     BATVOLT   12.94      998877.00  -01
2015JAN20 1530 MABO     GH        2.43       998877.00  -01
2015JAN20 1515 MABO     GH        2.44       998877.00  -01
2015JAN20 1500 MABO     GH        2.44       998877.00  -01
2015JAN20 1445 MABO     GH        2.44       998877.00  -01
2015JAN20 1430 MABO     GH        2.45       998877.00  -01
2015JAN20 1415 MABO     GH        2.45       998877.00  -01
2015JAN20 1400 MABO     GH        2.44       998877.00  -01
2015JAN20 1345 MABO     GH        2.43       998877.00  -01
2015JAN20 1530 MABO     WF        36.00      998877.00  -01
2015JAN20 1515 MABO     WF        36.20      998877.00  -01
2015JAN20 1500 MABO     WF        36.30      998877.00  -01
2015JAN20 1445 MABO     WF        36.30      998877.00  -01
2015JAN20 1430 MABO     WF        36.20      998877.00  -01
2015JAN20 1415 MABO     WF        36.10      998877.00  -01
2015JAN20 1400 MABO     WF        35.90      998877.00  -01
2015JAN20 1345 MABO     WF        35.80      998877.00  -01
2015JAN20 1500 MABO     BATVOLT   12.94      998877.00  -01
2015JAN20 1430 MABO     GH        2.45       998877.00  -01
2015JAN20 1415 MABO     GH        2.45       998877.00  -01
2015JAN20 1400 MABO     GH        2.44       998877.00  -01
2015JAN20 1345 MABO     GH        2.43       998877.00  -01
2015JAN20 1330 MABO     GH        2.41       998877.00  -01
2015JAN20 1315 MABO     GH        2.39       998877.00  -01
2015JAN20 1300 MABO     GH        2.38       998877.00  -01
2015JAN20 1245 MABO     GH        2.37       998877.00  -01
2015JAN20 1430 MABO     WF        36.20      998877.00  -01
2015JAN20 1415 MABO     WF        36.10      998877.00  -01
2015JAN20 1400 MABO     WF        35.90      998877.00  -01
2015JAN20 1345 MABO     WF        35.80      998877.00  -01
2015JAN20 1330 MABO     WF        35.70      998877.00  -01
2015JAN20 1315 MABO     WF        35.30      998877.00  -01
2015JAN20 1300 MABO     WF        35.00      998877.00  -01
2015JAN20 1245 MABO     WF        34.70      998877.00  -01
2015JAN20 1400 MABO     BATVOLT   12.94      998877.00  -01
2015JAN20 1330 MABO     GH        2.41       998877.00  -01
2015JAN20 1315 MABO     GH        2.39       998877.00  -01
2015JAN20 1300 MABO     GH        2.38       998877.00  -01
2015JAN20 1245 MABO     GH        2.37       998877.00  -01
2015JAN20 1230 MABO     GH        2.37       998877.00  -01
2015JAN20 1215 MABO     GH        2.37       998877.00  -01
2015JAN20 1200 MABO     GH        2.37       998877.00  -01
2015JAN20 1145 MABO     GH        2.38       998877.00  -01
2015JAN20 1330 MABO     WF        35.70      998877.00  -01
2015JAN20 1315 MABO     WF        35.30      998877.00  -01
2015JAN20 1300 MABO     WF        35.00      998877.00  -01
2015JAN20 1245 MABO     WF        34.70      998877.00  -01
2015JAN20 1230 MABO     WF        34.60      998877.00  -01
2015JAN20 1215 MABO     WF        34.50      998877.00  -01
2015JAN20 1200 MABO     WF        34.30      998877.00  -01
2015JAN20 1145 MABO     WF        33.70      998877.00  -01
2015JAN20 1300 MABO     BATVOLT   12.94      998877.00  -01
2015JAN20 1230 MABO     GH        2.37       998877.00  -01
