30,2005,155,800,12.98,.612,6.184,.99,12.44,-160.5
30,2005,155,830,13.17,.611,6.174,.99,12.42,-159.7
30,2005,155,900,13.16,.611,6.162,.99,12.4,-158.6
30,2005,155,930,13.06,.61,6.15,.998,12.37,-157.5
30,2005,155,1000,13.03,.609,6.145,.998,12.36,-156.8
30,2005,155,1030,13.02,.609,6.137,.982,12.35,-156.4
30,2005,155,1100,13,.609,6.132,.981,12.34,-156.1
30,2005,155,1130,12.99,.609,6.131,.98,12.34,-155.8
30,2005,155,1200,12.98,.609,6.131,.98,12.34,-155.5
30,2005,155,1230,12.98,.609,6.131,.999,12.33,-155.3
30,2005,155,1300,12.97,.607,6.105,1.001,12.28,-155.2
30,2005,155,1330,12.97,.606,6.091,.998,12.25,-155.2
30,2005,155,1400,12.97,.606,6.091,.993,12.25,-155.3
30,2005,155,1430,12.98,.604,6.063,.985,12.2,-155.6
30,2005,155,1500,12.98,.604,6.058,.979,12.19,-155.7
30,2005,155,1530,12.98,.603,6.052,.977,12.18,-155.7
30,2005,155,1600,12.97,.601,6.022,.978,12.11,-155.6
30,2005,155,1630,12.97,.601,6.013,.98,12.09,-155.4
30,2005,155,1700,12.97,.6,5.998,.977,12.07,-155.3
30,2005,155,1730,12.97,.598,5.975,.971,12.02,-155.3
30,2005,155,1800,12.98,.598,5.974,.975,12.01,-155.5
30,2005,155,1830,12.95,.598,5.971,.979,12.01,-155.5
30,2005,155,1900,12.86,.595,5.934,.976,11.93,-156
30,2005,155,1930,12.83,.595,5.934,.974,11.93,-156.7
30,2005,155,2000,12.8,.594,5.916,.978,11.9,-157.3
30,2005,155,2030,12.76,.593,5.908,.982,11.88,-157.7
30,2005,155,2100,12.75,.592,5.885,.982,11.83,-158.1
30,2005,155,2130,12.73,.591,5.872,.981,11.8,-158.3
30,2005,155,2200,12.72,.591,5.88,.983,11.82,-158.5
30,2005,155,2230,12.72,.59,5.864,.983,11.79,-158.6
30,2005,155,2300,12.71,.589,5.844,.982,11.75,-158.8
30,2005,155,2330,12.7,.589,5.844,.983,11.75,-159.1
30,2005,155,2400,12.7,.586,5.807,.982,11.67,-159.3
24,2005,155,2400,12.85,13.26,830,12.64,555,.604,.612,508,.586,2324,6.059,6.186,508,5.805,2324,.989,1.032,35,.945,1717,12.19,12.45,729,11.66,2346,-158,-155.1,1312,-161.3,625
30,2005,156,30,12.69,.586,5.806,.981,11.67,-159.4
30,2005,156,100,12.69,.585,5.786,.98,11.63,-159.6
30,2005,156,130,12.68,.584,5.773,.981,11.6,-159.7
30,2005,156,200,12.68,.582,5.747,.98,11.55,-159.7
30,2005,156,230,12.68,.581,5.729,.98,11.51,-159.8
30,2005,156,300,12.67,.579,5.702,.98,11.46,-159.9
30,2005,156,330,12.67,.578,5.687,.982,11.43,-160.2
30,2005,156,400,12.67,.577,5.664,.98,11.38,-160.4
30,2005,156,430,12.66,.577,5.664,.976,11.38,-160.5
30,2005,156,500,12.66,.575,5.636,.977,11.32,-160.6
30,2005,156,530,12.66,.574,5.627,.979,11.3,-160.7
30,2005,156,600,12.65,.572,5.601,.978,11.25,-160.7
30,2005,156,630,12.67,.572,5.598,.974,11.24,-160.7
30,2005,156,700,12.7,.572,5.597,.971,11.24,-160.7
30,2005,156,730,12.76,.57,5.566,.969,11.18,-160.6
30,2005,156,800,12.92,.568,5.547,.967,11.14,-160.6
30,2005,156,830,13.26,.566,5.51,.968,11.07,-160.3
30,2005,156,900,13.21,.566,5.508,.969,11.06,-159.6
30,2005,156,930,13.17,.565,5.495,.967,11.04,-158.9
30,2005,156,1000,13.16,.562,5.459,.967,10.96,-158.7
30,2005,156,1030,13.15,.562,5.459,.967,10.96,-158.6
30,2005,156,1100,13.13,.562,5.457,.965,10.96,-158.3
30,2005,156,1130,13.11,.56,5.432,.963,10.91,-157.8
30,2005,156,1200,13.09,.559,5.408,.964,10.86,-157.5
30,2005,156,1230,13.07,.559,5.408,.965,10.86,-157
30,2005,156,1300,13.05,.558,5.403,.966,10.85,-156.6
30,2005,156,1330,13.05,.556,5.369,.964,10.78,-156.5
30,2005,156,1400,13.05,.555,5.358,.965,10.76,-156.5
30,2005,156,1430,13.06,.555,5.349,.96,10.74,-156.7
30,2005,156,1500,13.07,.554,5.335,.962,10.71,-156.9
30,2005,156,1530,13.08,.553,5.33,.963,10.7,-157
30,2005,156,1600,13.1,.553,5.332,.96,10.7,-157.3
30,2005,156,1630,13.11,.553,5.332,.957,10.7,-157.5
30,2005,156,1700,13.14,.553,5.33,.959,10.7,-157.9
30,2005,156,1730,13.17,.552,5.312,.985,10.66,-158.3
30,2005,156,1800,13.19,.551,5.303,.962,10.65,-158.5
30,2005,156,1830,13.2,.552,5.307,.958,10.65,-158.7
30,2005,156,1900,13.18,.552,5.307,.958,10.65,-158.9
30,2005,156,1930,13.1,.552,5.307,.958,10.65,-159.1
30,2005,156,2000,12.86,.552,5.307,.959,10.65,-159.3
30,2005,156,2030,12.75,.552,5.307,.961,10.65,-159.4
30,2005,156,2100,12.73,.552,5.31,.952,10.66,-159.6
30,2005,156,2130,12.72,.552,5.316,.948,10.68,-159.8
30,2005,156,2200,12.71,.553,5.319,.951,10.68,-159.9
30,2005,156,2230,12.7,.553,5.32,.946,10.68,-160.1
30,2005,156,2300,12.69,.553,5.32,.94,10.68,-160.2
30,2005,156,2330,12.69,.553,5.32,.942,10.68,-160.3
30,2005,156,2400,12.68,.553,5.32,.943,10.68,-160.4
