cbtt,station_id,Name,Basin
,14330000,"ROGUE R BL PROSPECT, OR",Rogue
,14332000,"S FK ROGUE R NR PROSPECT, OR",Rogue
,14335072,"ROGUE R AT COLE M RIVERS F HATCHERY NR MCLEOD, OR",Rogue
,14335200,S FK BIG BUTTE CR AB WILLOW CR NR BUTTE FALLS,Rogue
,14337500,"BIG BUTTE CR NR MCLEOD, OR",Rogue
,14337600,"ROGUE R NR MCLEOD, OR",Rogue
,14338000,"ELK CR NR TRAIL, OR",Rogue
,14342500,"N FK LITTLE BUTTE CR AT FISH LAKE NR LAKECREEK, OR",Rogue
,14348150,"ANTELOPE CR NR EAGLE POINT, OR",Rogue
,14352000,"NEIL CR AT MOUTH NR ASHLAND, OR",Rogue
,14352001,"BEAR CR BL NEAL CR NR ASHLAND, OR",Rogue
,14353000,"W FK ASHLAND CR NR ASHLAND, OR",Rogue
,14353500,"E FK ASHLAND CR NR ASHLAND, OR",Rogue
,14354100,"ASHLAND CR BL TREATMENT PLANT AT ASHLAND, OR",Rogue
,14355875,"WAGNER CR AT TALENT, OR",Rogue
,14360500,"EVANS CR AT WIMER, OR",Rogue
,14362250,"STAR G NR RUCH, OR",Rogue
,14365500,"L APPLEGATE R NR RUCH, OR",Rogue
,14369500,"APPLEGATE R NR WILDERVILLE, OR",Rogue
,14372500,"E FK ILLINOIS R NR TAKILMA, OR",Rogue
,14375100,"SUCKER CR BL L GRAYBACK CR NR HOLLAND, OR",Rogue
,14375200,"SUCKER CR AT BRIDGEVIEW, OR",Rogue
,14377100,"ILLINOIS R NR KERBY, OR",Rogue
,14400000,"CHETCO R NR BROOKINGS, OR",South Coast
,14076000A,WHYCHUS CR CN #1 NR SISTERS,Deschutes
