cbtt,station_id,Name,Basin
WICO,14056500,"DESCHUTES R BL WICKIUP RES NR LA PINE, OR",Deschutes
YOKO,14026000,"UMATILLA R AT YOAKUM, OR",Umatilla
,14372300,"ROGUE R NR AGNESS, OR",Rogue
,14361900,"APPLEGATE LAKE NR COPPER, OR",Rogue
,14362000,"APPLEGATE R NR COPPER, OR",Rogue
,14366000,"APPLEGATE R NR APPLEGATE, OR",Rogue
,13290450,"SNAKE R AT HELLS CAN DAM ID-OR STATE LINE, OR",Out of State-Part 13
,14048000,"JOHN DAY R AT MCDONALD FERRY, OR",John Day
,14359000,"ROGUE R AT RAYGOLD NR CENTRAL PT, OR",Rogue
,13290460,"SNAKE R AT JOHNSON BAR ID-OR STATE LINE, WA",Powder
,14105700,"COLUMBIA R AT THE DALLES, OR",Out of State-Part 14
,13214500,"WARMSPRINGS RES NR RIVERSIDE, OR",Malheur
,14056000,"WICKIUP RES NR LA PINE, OR",Deschutes
,14335240,"WILLOW CR RES NR BUTTE FALLS, OR",Rogue
,14354200,"BEAR CR BL ASHLAND CR AT ASHLAND, OR",Rogue
,13217500,"N FK MALHEUR AT BEULAH, OR",Malheur
,14087400,"CROOKED R BL OPAL SPRINGS NR CULVER, OR",Deschutes
,14076500,"DESCHUTES R NR CULVER, OR",Deschutes
,14203500,"TUALATIN R NR DILLEY, OR",Willamette
,14339000,"ROGUE R AT DODGE BR NR EAGLE POINT, OR",Rogue
,14361500,"ROGUE R AT GRANTS PASS, OR",Rogue
,13292000,"IMNAHA R AT IMNAHA, OR",Grande Ronde
,14357500,"BEAR CR AT MEDFORD, OR",Rogue
,13183000,"OWYHEE R BL OWYHEE DAM, OR",Owyhee
,13181000,"OWYHEE R NR ROME, OR",Owyhee
,13213100,"SNAKE R AT NYSSA, OR",Out of State-Part 13
,13333000,"GRANDE RONDE R AT TROY, OR",Grande Ronde
,14033500,"UMATILLA R NR UMATILLA, OR",Umatilla
,13233300,"MALHEUR R BL NEVADA DAM NR VALE, OR",Malheur
,13215000,"MALHEUR R BL WARMSPRINGS RES NR RIVERSIDE, OR",Malheur
