GOESDEC,ACTIVE, RTCNAME, S_OFV, S_ONV, S_NV, S_TTMODE, S_RTFV, S_OTC, S_TBV, S_DTFMT, S_DTSIZE, S_BID, S_BIDCNT, R_OFV, R_ONV, R_NV, R_TTMODE, R_RTFV, R_OTC, R_TBV, R_DTFMT, R_DTSIZE, R_BID, R_BIDCNT, EDITDATE, OWNER,                                                                                                                                                                                       
CSPW    TI,1,,18,24,4,R,-27,0,-60,T,3,,0,0,0,0,I,0,0,0,,0,,0,23-AUG-2000 11:34:59.65,HYDROMET,                                                                                                                                                                                                                                                                                                                  
CSPW    TJ,1,,24,24,4,R,-27,0,-60,T,3,,0,0,0,0,I,0,0,0,,0,,0,23-AUG-2000 11:35:04.31,HYDROMET,                                                                                                                                                                                                                                                                                                                  
CSPW    WD,1,,12,24,4,R,-27,0,-60,T,3,,0,0,0,0,I,0,0,0,,0,,0,23-AUG-2000 11:35:08.53,HYDROMET,                                                                                                                                                                                                                                                                                                                  
CSPW    WS,1,,9,24,4,R,-27,0,-60,T,3,,0,0,0,0,I,0,0,0,,0,,0,23-AUG-2000 11:35:12.59,HYDROMET,                                                                                                                                                                                                                                                                                                                   
CSPW    XPC,1,,15,24,4,R,-27,0,-60,T,3,,0,0,0,0,I,0,0,0,,0,,0,23-AUG-2000 11:35:17.03,HYDROMET,                                                                                                                                                                                                                                                                                                                 
CSSO    GH,1,,3,3,16,R,-10,0,-15,B,3,,0,2,3,3,I,0,-2,-15,B,3,,0,18-AUG-1995 08:06:14.16,HYDROMET,                                                                                                                                                                                                                                                                                                               
DEPW    GH,1,,4,3,4,R,-14,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,10-NOV-2011 05:03:32.10,HYDROMET,                                                                                                                                                                                                                                                                                                                    
DEPW    OB,0,,6,9,16,R,-5,0,-15,B,3,,0,0,0,32,I,0,0,0,,32,,0,10-NOV-2011 05:05:25.03,HYDROMET,                                                                                                                                                                                                                                                                                                                  
DEPW    WF,0,,3,9,16,R,-5,0,-15,B,3,,0,0,0,32,I,0,0,0,,32,,0,10-NOV-2011 05:05:19.19,HYDROMET,                                                                                                                                                                                                                                                                                                                  
DRYW    OB,1,,61,3,16,R,-4,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,07-MAR-2005 08:33:27.59,SYSTEM,                                                                                                                                                                                                                                                                                                                     
DRYW    PC,1,,10,3,16,R,-4,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,07-MAR-2005 08:34:17.10,SYSTEM,                                                                                                                                                                                                                                                                                                                     
EASW    GH,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:48:14.51,HYDROMET,                                                                                                                                                                                                                                                                                                                     
ELNW    GH,1,,7,6,4,R,-2,0,-15,T,3,,0,0,0,32,I,0,0,0,,32,,0,04-DEC-2009 17:43:23.87,HYDROMET,                                                                                                                                                                                                                                                                                                                   
ELNW    WF,1,,4,6,4,R,-2,0,-15,T,3,,0,0,0,32,I,0,0,0,,32,,0,04-DEC-2009 17:42:57.74,HYDROMET,                                                                                                                                                                                                                                                                                                                   
ETCW    CH,1,,4,3,4,R,-4,0,-15,T,3,,0,2,3,2,I,0,-1,-15,T,3,2,1,18-JUL-2016 10:19:54.07,DCALL,                                                                                                                                                                                                                                                                                                                   
FISW    SE,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:48:21.66,HYDROMET,                                                                                                                                                                                                                                                                                                                     
KAC     FB,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:48:49.13,HYDROMET,                                                                                                                                                                                                                                                                                                                     
KAC     GH,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:48:49.13,HYDROMET,                                                                                                                                                                                                                                                                                                                     
KAC     PC,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:48:49.13,HYDROMET,                                                                                                                                                                                                                                                                                                                     
KEE     FB,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:48:50.03,HYDROMET,                                                                                                                                                                                                                                                                                                                     
KEE     GH,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,04-MAY-2016 14:32:47.26,DCALL,                                                                                                                                                                                                                                                                                                                        
KEE     PC,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:48:50.03,HYDROMET,                                                                                                                                                                                                                                                                                                                     
KIOW    GH,1,,4,6,8,R,-14,0,-15,T,3,,0,0,0,32,I,0,0,0,,32,,0,25-AUG-2010 09:55:30.02,HYDROMET,                                                                                                                                                                                                                                                                                                                  
KIOW    WF,1,,7,6,8,R,-14,0,-15,T,3,,0,0,0,32,I,0,0,0,,32,,0,25-AUG-2010 09:55:48.54,HYDROMET,                                                                                                                                                                                                                                                                                                                  
KNCW    CH,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,28-MAR-2016 16:37:31.50,DCALL,                                                                                                                                                                                                                                                                                                                        
KTCW    CH,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:48:52.39,HYDROMET,                                                                                                                                                                                                                                                                                                                     
KTCW    OB,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:48:52.39,HYDROMET,                                                                                                                                                                                                                                                                                                                     
LIDW    OB,1,,0,15,16,R,-228,0,15,X,3,,0,0,0,0,I,0,0,0,,0,,0,07-MAR-2005 12:39:45.71,HYDROMET,                                                                                                                                                                                                                                                                                                                  
LIDW    PC,1,,246,9,4,R,-213,0,60,X,3,,0,0,0,0,I,0,0,0,,0,,0,07-MAR-2005 09:28:51.93,HYDROMET,                                                                                                                                                                                                                                                                                                                  
LNRW    GH,1,,7,6,4,R,-2,0,-15,T,3,,0,0,0,32,I,0,0,0,,32,,0,16-NOV-2009 05:54:50.97,HYDROMET,                                                                                                                                                                                                                                                                                                                   
LNRW    WF,1,,4,6,4,R,-2,0,-15,T,3,,0,0,0,32,I,0,0,0,,32,,0,16-NOV-2009 05:55:07.99,HYDROMET,                                                                                                                                                                                                                                                                                                                   
MEDW    GH,1,,4,3,4,R,-5,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,23-JUL-2010 14:40:13.97,HYDROMET,                                                                                                                                                                                                                                                                                                                     
MRSW    OB,1,,3,12,4,R,-1,0,-60,T,3,,0,0,0,0,I,0,0,0,,0,,0,14-OCT-1997 10:22:38.04,JDOTY,                                                                                                                                                                                                                                                                                                                       
MRSW    SP,1,,12,12,4,R,-1,0,-60,B,3,,0,0,0,0,I,0,0,0,,0,,0,14-OCT-1997 11:24:30.48,JDOTY,                                                                                                                                                                                                                                                                                                                      
MTNW    Z1,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:49:25.30,HYDROMET,                                                                                                                                                                                                                                                                                                                     
NACW    GH,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:49:28.06,HYDROMET,                                                                                                                                                                                                                                                                                                                     
NACW    WF,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:49:28.06,HYDROMET,                                                                                                                                                                                                                                                                                                                     
NRYW    GH,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:49:34.38,HYDROMET,                                                                                                                                                                                                                                                                                                                     
NSCW    CH,1,,4,3,4,R,-4,0,-15,T,3,,0,0,0,32,I,0,0,0,,32,,0,02-JUL-2010 06:43:24.09,HYDROMET,                                                                                                                                                                                                                                                                                                                   
ODSW    OB,1,,0,15,16,R,-238,0,15,X,3,,0,0,0,0,I,0,0,0,,0,,0,07-MAR-2005 08:17:00.46,SYSTEM,                                                                                                                                                                                                                                                                                                                    
ODSW    PC,1,,246,39,4,R,-208,0,60,X,3,,0,0,0,0,I,0,0,0,,0,,0,07-MAR-2005 08:18:05.62,SYSTEM,                                                                                                                                                                                                                                                                                                                   
OMWW    SE,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:49:39.16,HYDROMET,                                                                                                                                                                                                                                                                                                                     
PAR     FB,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:49:43.93,HYDROMET,                                                                                                                                                                                                                                                                                                                     
PARW    GH,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,28-JUN-2007 14:27:06.11,TMERENDINO,                                                                                                                                                                                                                                                                                                                   
PARW    WF,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:49:45.15,HYDROMET,                                                                                                                                                                                                                                                                                                                     
PERW    Z1,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:49:48.56,HYDROMET,                                                                                                                                                                                                                                                                                                                     
PRAW    Z1,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:49:53.83,HYDROMET,                                                                                                                                                                                                                                                                                                                     
PRO     FB,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:49:55.93,HYDROMET,                                                                                                                                                                                                                                                                                                                     
PRO     OB,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:49:55.93,HYDROMET,                                                                                                                                                                                                                                                                                                                     
PSSW    JK,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:49:58.49,HYDROMET,                                                                                                                                                                                                                                                                                                                     
PWSW    JK,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:49:59.59,HYDROMET,                                                                                                                                                                                                                                                                                                                     
PWSW    WD,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:49:59.59,HYDROMET,                                                                                                                                                                                                                                                                                                                     
PWSW    WS,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:49:59.59,HYDROMET,                                                                                                                                                                                                                                                                                                                     
QSPW    BV,1,,7,21,4,R,-14,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,23-AUG-2011 10:05:44.83,HYDROMET,                                                                                                                                                                                                                                                                                                                   
QSPW    IT,0,,21,27,4,R,-28,0,-60,T,3,,0,0,0,0,I,0,0,0,,0,,0,23-AUG-2011 10:02:45.21,HYDROMET,                                                                                                                                                                                                                                                                                                                  
QSPW    IT2,0,,27,27,4,R,-28,0,-60,T,3,,0,0,0,0,I,0,0,0,,0,,0,24-AUG-2011 06:40:33.23,HYDROMET,                                                                                                                                                                                                                                                                                                                 
QSPW    OB,1,,4,21,4,R,-14,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,23-AUG-2011 10:05:22.43,HYDROMET,                                                                                                                                                                                                                                                                                                                   
QSPW    PC,1,,19,21,4,R,-14,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,23-AUG-2011 10:08:12.60,HYDROMET,                                                                                                                                                                                                                                                                                                                  
QSPW    SD,1,,10,21,4,R,-14,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,23-AUG-2011 10:06:49.78,HYDROMET,                                                                                                                                                                                                                                                                                                                  
QSPW    SP,1,,22,21,4,R,-14,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,23-AUG-2011 10:11:56.89,HYDROMET,                                                                                                                                                                                                                                                                                                                  
QSPW    TI,0,,21,27,4,R,-28,0,-60,T,3,,0,0,0,0,I,0,0,0,,0,,0,24-AUG-2011 06:39:55.33,HYDROMET,                                                                                                                                                                                                                                                                                                                  
QSPW    TJ,0,,27,27,4,R,-28,0,-60,T,3,,0,0,0,0,I,0,0,0,,0,,0,24-AUG-2011 06:40:11.22,HYDROMET,                                                                                                                                                                                                                                                                                                                  
QSPW    WD,1,,16,21,4,R,-14,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,23-AUG-2011 10:07:40.80,HYDROMET,                                                                                                                                                                                                                                                                                                                  
QSPW    WS,1,,13,21,4,R,-14,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,23-AUG-2011 10:07:13.54,HYDROMET,                                                                                                                                                                                                                                                                                                                  
QSPW    XPC,1,,19,21,4,R,-14,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,23-AUG-2011 10:09:21.82,HYDROMET,                                                                                                                                                                                                                                                                                                                 
RBDW    GH,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:50:05.27,HYDROMET,                                                                                                                                                                                                                                                                                                                     
RDR     FB,1,,15,15,16,R,-3,0,-15,T,3,,0,0,0,32,I,0,0,0,,32,,0,09-JUN-1998 14:06:40.18,JDOTY,                                                                                                                                                                                                                                                                                                                   
RDR     OB,1,,3,15,16,R,-3,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,09-JUN-1998 14:04:42.12,JDOTY,                                                                                                                                                                                                                                                                                                                      
RDR     WD,1,,12,15,16,R,-3,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,12-JUN-1998 09:23:05.54,HYDROMET,                                                                                                                                                                                                                                                                                                                  
RDR     WF,1,,6,15,16,R,-3,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,09-JUN-1998 14:05:06.29,JDOTY,                                                                                                                                                                                                                                                                                                                      
RDR     WS,1,,9,15,16,R,-3,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,12-JUN-1998 09:22:57.71,HYDROMET,                                                                                                                                                                                                                                                                                                                   
REIW    JK,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:50:09.49,HYDROMET,                                                                                                                                                                                                                                                                                                                     
RIM     FB,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:50:11.47,HYDROMET,                                                                                                                                                                                                                                                                                                                     
RIM     GH,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:50:11.47,HYDROMET,                                                                                                                                                                                                                                                                                                                     
RIM     PC,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:50:11.47,HYDROMET,                                                                                                                                                                                                                                                                                                                     
