Bureau of Reclamation Hydromet System
Rating Table Expansion
Station GCL - Grand Coulee Dam, WA
Parameter AF - Reservoir Storage - Acre-Feet
Table Description: October 1977 Table 
Units are: AF 
Dependent Variable: Forebay Elevation - Feet - Hourly Average
Interpolation Type: Storage from Linear Res Area 
Rating shift adjustments have NOT been applied to this table. 
Table Edit Date: 8-DEC-2006 15:17
Today's Date: 28-FEB-2013 15:46 


 BEGIN TABLE
 FT   ,AF   
 1221.32, 640315
 1221.33, 640824
 1221.34, 641332
 1221.35, 641841
 1221.36, 642349
 1221.37, 642858
 1221.38, 643367
 1221.39, 643875
 1221.40, 644384
 1221.41, 644887
 1221.42, 645396
 1221.43, 645905
 1221.44, 646414
 1221.45, 646923
 1221.46, 647432
 1221.47, 647941
 1221.48, 648450
 1221.49, 648959
 1221.50, 649468
 1221.51, 649978
 1221.52, 650487
 1221.53, 650996
 1221.54, 651500
 1221.55, 652009
 1221.56, 652519
 1221.57, 653028
 1221.58, 653538
 1221.59, 654048
 1221.60, 654557
 1221.61, 655067
 1221.62, 655577
 1221.63, 656087
 1221.64, 656597
 1221.65, 657107
 1221.66, 657611
 1221.67, 658121
 1221.68, 658631
 1221.69, 659141
 1221.70, 659651
 1221.71, 660161
 1221.72, 660672
 1221.73, 661182
 1221.74, 661693
 1221.75, 662203
 1221.76, 662714
 1221.77, 663224
 1221.78, 663735
 1221.79, 664239
 1221.80, 664750
 1221.81, 665261
 1221.82, 665771
 1221.83, 666282
 1221.84, 666793
 1221.85, 667304
 1221.86, 667815
 1221.87, 668326
 1221.88, 668837
 1221.89, 669348
 1221.90, 669859
 1221.91, 670364
 1221.92, 670876
 1221.93, 671387
 1221.94, 671898
 1221.95, 672410
 1221.96, 672921
 1221.97, 673433
 1221.98, 673944
 1221.99, 674456
 1222.00, 674967
 1222.01, 675479
 1222.02, 675990
 1222.03, 676502
 1222.04, 677008
 1222.05, 677520
 1222.06, 678032
 1222.07, 678544
 1222.08, 679056
 1222.09, 679568
 1222.10, 680080
 1222.11, 680592
 1222.12, 681104
 1222.13, 681617
 1222.14, 682129
 1222.15, 682641
 1222.16, 683148
 1222.17, 683660
 1222.18, 684173
 1222.19, 684685
 1222.20, 685198
 1222.21, 685710
 1222.22, 686223
 1222.23, 686736
 1222.24, 687249
 1222.25, 687762
 1222.26, 688274
 1222.27, 688787
 1222.28, 689300
 1222.29, 689807
 1222.30, 690320
 1222.31, 690833
 1222.32, 691347
 1222.33, 691860
 1222.34, 692373
 1222.35, 692887
 1222.36, 693400
 1222.37, 693913
 1222.38, 694427
 1222.39, 694940
 1222.40, 695454
 1222.41, 695961
 1222.42, 696475
 1222.43, 696989
 1222.44, 697503
 1222.45, 698016
 1222.46, 698530
 1222.47, 699044
 1222.48, 699558
 1222.49, 700072
 1222.50, 700586
 1222.51, 701100
 1222.52, 701614
 1222.53, 702129
 1222.54, 702637
 1222.55, 703151
 1222.56, 703665
 1222.57, 704180
 1222.58, 704694
 1222.59, 705209
 1222.60, 705723
 1222.61, 706238
 1222.62, 706752
 1222.63, 707267
 1222.64, 707782
 1222.65, 708297
 1222.66, 708805
 1222.67, 709320
 1222.68, 709835
 1222.69, 710350
 1222.70, 710865
 1222.71, 711380
 1222.72, 711895
 1222.73, 712410
 1222.74, 712926
 1222.75, 713441
 1222.76, 713956
 1222.77, 714471
 1222.78, 714987
 1222.79, 715496
 1222.80, 716012
 1222.81, 716527
 1222.82, 717043
 1222.83, 717558
 1222.84, 718074
 1222.85, 718590
 1222.86, 719106
 1222.87, 719621
 1222.88, 720137
 1222.89, 720653
 1222.90, 721169
 1222.91, 721679
 1222.92, 722195
 1222.93, 722711
 1222.94, 723227
 1222.95, 723744
 1222.96, 724260
 1222.97, 724776
 1222.98, 725293
 1222.99, 725809
 1223.00, 726325
 1223.01, 726842
 1223.02, 727358
 1223.03, 727875
 1223.04, 728385
 1223.05, 728902
 1223.06, 729419
 1223.07, 729935
 1223.08, 730452
 1223.09, 730969
 1223.10, 731486
 1223.11, 732003
 1223.12, 732520
 1223.13, 733037
 1223.14, 733554
 1223.15, 734072
 1223.16, 734583
 1223.17, 735100
 1223.18, 735617
 1223.19, 736135
 1223.20, 736652
 1223.21, 737169
 1223.22, 737687
 1223.23, 738205
 1223.24, 738722
 1223.25, 739240
 1223.26, 739758
 1223.27, 740275
 1223.28, 740793
 1223.29, 741305
 1223.30, 741823
 1223.31, 742341
 1223.32, 742859
 1223.33, 743377
 1223.34, 743895
 1223.35, 744413
 1223.36, 744931
 1223.37, 745449
 1223.38, 745968
 1223.39, 746486
 1223.40, 747005
 1223.41, 747517
 1223.42, 748035
 1223.43, 748554
 1223.44, 749072
 1223.45, 749591
 1223.46, 750110
 1223.47, 750628
 1223.48, 751147
 1223.49, 751666
 1223.50, 752185
 1223.51, 752704
 1223.52, 753223
 1223.53, 753742
 1223.54, 754255
 1223.55, 754774
 1223.56, 755293
 1223.57, 755812
 1223.58, 756331
 1223.59, 756851
 1223.60, 757370
 1223.61, 757890
 1223.62, 758409
 1223.63, 758929
 1223.64, 759448
 1223.65, 759968
 1223.66, 760481
 1223.67, 761001
 1223.68, 761520
 1223.69, 762040
 1223.70, 762560
 1223.71, 763080
 1223.72, 763600
 1223.73, 764120
 1223.74, 764640
 1223.75, 765160
 1223.76, 765680
 1223.77, 766200
 1223.78, 766721
 1223.79, 767235
 1223.80, 767755
 1223.81, 768275
 1223.82, 768796
 1223.83, 769316
 1223.84, 769837
 1223.85, 770357
 1223.86, 770878
 1223.87, 771399
 1223.88, 771919
 1223.89, 772440
 1223.90, 772961
 1223.91, 773476
 1223.92, 773996
 1223.93, 774517
 1223.94, 775038
 1223.95, 775559
 1223.96, 776081
 1223.97, 776602
 1223.98, 777123
 1223.99, 777644
 1224.00, 778164
 1224.01, 778685
 1224.02, 779207
 1224.03, 779728
 1224.04, 780243
 1224.05, 780765
 1224.06, 781287
 1224.07, 781808
 1224.08, 782330
 1224.09, 782852
 1224.10, 783373
 1224.11, 783895
 1224.12, 784417
 1224.13, 784939
 1224.14, 785461
 1224.15, 785983
 1224.16, 786499
 1224.17, 787021
 1224.18, 787543
 1224.19, 788065
 1224.20, 788588
 1224.21, 789110
 1224.22, 789632
 1224.23, 790155
 1224.24, 790677
 1224.25, 791200
 1224.26, 791722
 1224.27, 792245
 1224.28, 792768
 1224.29, 793284
 1224.30, 793807
 1224.31, 794329
 1224.32, 794852
 1224.33, 795375
 1224.34, 795898
 1224.35, 796421
 1224.36, 796944
 1224.37, 797467
 1224.38, 797990
 1224.39, 798514
 1224.40, 799037
 1224.41, 799554
 1224.42, 800077
 1224.43, 800601
 1224.44, 801124
 1224.45, 801647
 1224.46, 802171
 1224.47, 802695
 1224.48, 803218
 1224.49, 803742
 1224.50, 804266
 1224.51, 804789
 1224.52, 805313
 1224.53, 805837
 1224.54, 806355
 1224.55, 806879
 1224.56, 807403
 1224.57, 807927
 1224.58, 808451
 1224.59, 808975
 1224.60, 809499
 1224.61, 810024
 1224.62, 810548
 1224.63, 811072
 1224.64, 811597
 1224.65, 812121
 1224.66, 812639
 1224.67, 813164
 1224.68, 813688
 1224.69, 814213
 1224.70, 814738
 1224.71, 815262
 1224.72, 815787
 1224.73, 816312
 1224.74, 816837
 1224.75, 817362
 1224.76, 817887
 1224.77, 818412
 1224.78, 818937
 1224.79, 819456
 1224.80, 819981
 1224.81, 820506
 1224.82, 821032
 1224.83, 821557
 1224.84, 822082
 1224.85, 822608
 1224.86, 823133
 1224.87, 823659
 1224.88, 824184
 1224.89, 824710
 1224.90, 825236
 1224.91, 825755
 1224.92, 826281
 1224.93, 826806
 1224.94, 827332
 1224.95, 827858
 1224.96, 828384
 1224.97, 828910
 1224.98, 829436
 1224.99, 829962
 1225.00, 830488
 1225.01, 831014
 1225.02, 831540
 1225.03, 832067
 1225.04, 832587
 1225.05, 833113
 1225.06, 833640
 1225.07, 834166
 1225.08, 834693
 1225.09, 835219
 1225.10, 835746
 1225.11, 836273
 1225.12, 836799
 1225.13, 837326
 1225.14, 837853
 1225.15, 838380
 1225.16, 838900
 1225.17, 839427
 1225.18, 839954
 1225.19, 840481
 1225.20, 841009
 1225.21, 841536
 1225.22, 842063
 1225.23, 842590
 1225.24, 843118
 1225.25, 843645
 1225.26, 844172
 1225.27, 844700
 1225.28, 845227
 1225.29, 845749
 1225.30, 846276
 1225.31, 846804
 1225.32, 847332
 1225.33, 847859
 1225.34, 848387
 1225.35, 848915
 1225.36, 849443
 1225.37, 849971
 1225.38, 850499
 1225.39, 851027
 1225.40, 851555
 1225.41, 852077
 1225.42, 852605
 1225.43, 853133
 1225.44, 853662
 1225.45, 854190
 1225.46, 854718
 1225.47, 855247
 1225.48, 855775
 1225.49, 856304
 1225.50, 856833
 1225.51, 857361
 1225.52, 857890
 1225.53, 858419
 1225.54, 858941
 1225.55, 859470
 1225.56, 859999
 1225.57, 860528
 1225.58, 861057
 1225.59, 861586
 1225.60, 862115
 1225.61, 862644
 1225.62, 863173
 1225.63, 863702
 1225.64, 864232
 1225.65, 864761
 1225.66, 865284
 1225.67, 865813
 1225.68, 866343
 1225.69, 866872
 1225.70, 867402
 1225.71, 867932
 1225.72, 868461
 1225.73, 868991
 1225.74, 869521
 1225.75, 870051
 1225.76, 870580
 1225.77, 871110
 1225.78, 871640
 1225.79, 872164
 1225.80, 872694
 1225.81, 873224
 1225.82, 873754
 1225.83, 874284
 1225.84, 874815
 1225.85, 875345
 1225.86, 875875
 1225.87, 876406
 1225.88, 876936
 1225.89, 877467
 1225.90, 877997
 1225.91, 878521
 1225.92, 879052
 1225.93, 879583
 1225.94, 880114
 1225.95, 880644
 1225.96, 881175
 1225.97, 881706
 1225.98, 882237
 1225.99, 882768
 1226.00, 883299
 1226.01, 883830
 1226.02, 884361
 1226.03, 884892
 1226.04, 885417
 1226.05, 885949
 1226.06, 886480
 1226.07, 887011
 1226.08, 887543
 1226.09, 888074
 1226.10, 888606
 1226.11, 889137
 1226.12, 889669
 1226.13, 890201
 1226.14, 890732
 1226.15, 891264
 1226.16, 891789
 1226.17, 892321
 1226.18, 892853
 1226.19, 893385
 1226.20, 893917
 1226.21, 894449
 1226.22, 894981
 1226.23, 895514
 1226.24, 896046
 1226.25, 896578
 1226.26, 897110
 1226.27, 897643
 1226.28, 898175
 1226.29, 898701
 1226.30, 899234
 1226.31, 899766
 1226.32, 900299
 1226.33, 900832
 1226.34, 901364
 1226.35, 901897
 1226.36, 902430
 1226.37, 902963
 1226.38, 903496
 1226.39, 904029
 1226.40, 904562
 1226.41, 905088
 1226.42, 905621
 1226.43, 906154
 1226.44, 906688
 1226.45, 907221
 1226.46, 907754
 1226.47, 908287
 1226.48, 908821
 1226.49, 909354
 1226.50, 909888
 1226.51, 910421
 1226.52, 910955
 1226.53, 911489
 1226.54, 912016
 1226.55, 912549
 1226.56, 913083
 1226.57, 913617
 1226.58, 914151
 1226.59, 914685
 1226.60, 915219
 1226.61, 915753
 1226.62, 916287
 1226.63, 916821
 1226.64, 917355
 1226.65, 917890
 1226.66, 918417
 1226.67, 918952
 1226.68, 919486
 1226.69, 920020
 1226.70, 920555
 1226.71, 921089
 1226.72, 921624
 1226.73, 922159
 1226.74, 922693
 1226.75, 923228
 1226.76, 923763
 1226.77, 924298
 1226.78, 924833
 1226.79, 925361
 1226.80, 925896
 1226.81, 926431
 1226.82, 926966
 1226.83, 927501
 1226.84, 928036
 1226.85, 928571
 1226.86, 929107
 1226.87, 929642
 1226.88, 930177
 1226.89, 930713
 1226.90, 931248
 1226.91, 931777
 1226.92, 932313
 1226.93, 932848
 1226.94, 933384
 1226.95, 933920
 1226.96, 934456
 1226.97, 934991
 1226.98, 935527
 1226.99, 936063
 1227.00, 936598
 1227.01, 937134
 1227.02, 937670
 1227.03, 938206
 1227.04, 938736
 1227.05, 939272
 1227.06, 939808
 1227.07, 940345
 1227.08, 940881
 1227.09, 941417
 1227.10, 941954
 1227.11, 942490
 1227.12, 943027
 1227.13, 943563
 1227.14, 944100
 1227.15, 944637
 1227.16, 945167
 1227.17, 945704
 1227.18, 946240
 1227.19, 946777
 1227.20, 947314
 1227.21, 947851
 1227.22, 948388
 1227.23, 948925
 1227.24, 949462
 1227.25, 950000
 1227.26, 950537
 1227.27, 951074
 1227.28, 951611
 1227.29, 952142
 1227.30, 952680
 1227.31, 953217
 1227.32, 953755
 1227.33, 954292
 1227.34, 954830
 1227.35, 955368
 1227.36, 955905
 1227.37, 956443
 1227.38, 956981
 1227.39, 957519
 1227.40, 958057
 1227.41, 958588
 1227.42, 959126
 1227.43, 959664
 1227.44, 960202
 1227.45, 960740
 1227.46, 961279
 1227.47, 961817
 1227.48, 962355
 1227.49, 962894
 1227.50, 963432
 1227.51, 963970
 1227.52, 964509
 1227.53, 965048
 1227.54, 965580
 1227.55, 966118
 1227.56, 966657
 1227.57, 967196
 1227.58, 967735
 1227.59, 968273
 1227.60, 968812
 1227.61, 969351
 1227.62, 969890
 1227.63, 970429
 1227.64, 970968
 1227.65, 971508
 1227.66, 972040
 1227.67, 972579
 1227.68, 973119
 1227.69, 973658
 1227.70, 974197
 1227.71, 974737
 1227.72, 975276
 1227.73, 975816
 1227.74, 976356
 1227.75, 976895
 1227.76, 977435
 1227.77, 977975
 1227.78, 978514
 1227.79, 979048
 1227.80, 979588
 1227.81, 980127
 1227.82, 980667
 1227.83, 981207
 1227.84, 981748
 1227.85, 982288
 1227.86, 982828
 1227.87, 983368
 1227.88, 983908
 1227.89, 984449
 1227.90, 984989
 1227.91, 985523
 1227.92, 986063
 1227.93, 986604
 1227.94, 987145
 1227.95, 987685
 1227.96, 988226
 1227.97, 988767
 1227.98, 989307
 1227.99, 989848
 1228.00, 990388
 1228.01, 990929
 1228.02, 991470
 1228.03, 992011
 1228.04, 992545
 1228.05, 993087
 1228.06, 993628
 1228.07, 994169
 1228.08, 994710
 1228.09, 995252
 1228.10, 995793
 1228.11, 996334
 1228.12, 996876
 1228.13, 997417
 1228.14, 997959
 1228.15, 998500
 1228.16, 999036
 1228.17, 999577
 1228.18, 1000119
 1228.19, 1000661
 1228.20, 1001203
 1228.21, 1001745
 1228.22, 1002287
 1228.23, 1002829
 1228.24, 1003371
 1228.25, 1003913
 1228.26, 1004455
 1228.27, 1004997
 1228.28, 1005539
 1228.29, 1006075
 1228.30, 1006617
 1228.31, 1007160
 1228.32, 1007702
 1228.33, 1008245
 1228.34, 1008787
 1228.35, 1009330
 1228.36, 1009873
 1228.37, 1010415
 1228.38, 1010958
 1228.39, 1011501
 1228.40, 1012044
 1228.41, 1012580
 1228.42, 1013123
 1228.43, 1013666
 1228.44, 1014209
 1228.45, 1014752
 1228.46, 1015295
 1228.47, 1015838
 1228.48, 1016382
 1228.49, 1016925
 1228.50, 1017468
 1228.51, 1018012
 1228.52, 1018555
 1228.53, 1019099
 1228.54, 1019636
 1228.55, 1020179
 1228.56, 1020723
 1228.57, 1021266
 1228.58, 1021810
 1228.59, 1022354
 1228.60, 1022898
 1228.61, 1023442
 1228.62, 1023986
 1228.63, 1024530
 1228.64, 1025074
 1228.65, 1025618
 1228.66, 1026155
 1228.67, 1026699
 1228.68, 1027244
 1228.69, 1027788
 1228.70, 1028332
 1228.71, 1028877
 1228.72, 1029421
 1228.73, 1029966
 1228.74, 1030510
 1228.75, 1031055
 1228.76, 1031599
 1228.77, 1032144
 1228.78, 1032689
 1228.79, 1033227
 1228.80, 1033772
 1228.81, 1034317
 1228.82, 1034862
 1228.83, 1035407
 1228.84, 1035952
 1228.85, 1036497
 1228.86, 1037042
 1228.87, 1037587
 1228.88, 1038132
 1228.89, 1038677
 1228.90, 1039223
 1228.91, 1039761
 1228.92, 1040307
 1228.93, 1040852
 1228.94, 1041398
 1228.95, 1041943
 1228.96, 1042489
 1228.97, 1043035
 1228.98, 1043580
 1228.99, 1044126
 1229.00, 1044671
 1229.01, 1045217
 1229.02, 1045763
 1229.03, 1046309
 1229.04, 1046848
 1229.05, 1047394
 1229.06, 1047940
 1229.07, 1048486
 1229.08, 1049033
 1229.09, 1049579
 1229.10, 1050125
 1229.11, 1050672
 1229.12, 1051218
 1229.13, 1051765
 1229.14, 1052311
 1229.15, 1052858
 1229.16, 1053398
 1229.17, 1053944
 1229.18, 1054491
 1229.19, 1055038
 1229.20, 1055585
 1229.21, 1056131
 1229.22, 1056678
 1229.23, 1057225
 1229.24, 1057772
 1229.25, 1058319
 1229.26, 1058866
 1229.27, 1059414
 1229.28, 1059961
 1229.29, 1060501
 1229.30, 1061049
 1229.31, 1061596
 1229.32, 1062143
 1229.33, 1062691
 1229.34, 1063238
 1229.35, 1063786
 1229.36, 1064334
 1229.37, 1064881
 1229.38, 1065429
 1229.39, 1065977
 1229.40, 1066525
 1229.41, 1067066
 1229.42, 1067614
 1229.43, 1068162
 1229.44, 1068710
 1229.45, 1069258
 1229.46, 1069806
 1229.47, 1070354
 1229.48, 1070902
 1229.49, 1071450
 1229.50, 1071999
 1229.51, 1072547
 1229.52, 1073095
 1229.53, 1073644
 1229.54, 1074186
 1229.55, 1074734
 1229.56, 1075283
 1229.57, 1075832
 1229.58, 1076380
 1229.59, 1076929
 1229.60, 1077478
 1229.61, 1078027
 1229.62, 1078576
 1229.63, 1079124
 1229.64, 1079673
 1229.65, 1080223
 1229.66, 1080765
 1229.67, 1081314
 1229.68, 1081863
 1229.69, 1082413
 1229.70, 1082962
 1229.71, 1083511
 1229.72, 1084061
 1229.73, 1084610
 1229.74, 1085160
 1229.75, 1085709
 1229.76, 1086259
 1229.77, 1086808
 1229.78, 1087358
 1229.79, 1087901
 1229.80, 1088451
 1229.81, 1089001
 1229.82, 1089551
 1229.83, 1090101
 1229.84, 1090651
 1229.85, 1091201
 1229.86, 1091751
 1229.87, 1092301
 1229.88, 1092851
 1229.89, 1093401
 1229.90, 1093952
 1229.91, 1094495
 1229.92, 1095046
 1229.93, 1095596
 1229.94, 1096147
 1229.95, 1096697
 1229.96, 1097248
 1229.97, 1097798
 1229.98, 1098349
 1229.99, 1098900
 1230.00, 1099450
 1230.01, 1100001
 1230.02, 1100552
 1230.03, 1101103
 1230.04, 1101647
 1230.05, 1102198
 1230.06, 1102749
 1230.07, 1103300
 1230.08, 1103851
 1230.09, 1104403
 1230.10, 1104954
 1230.11, 1105505
 1230.12, 1106057
 1230.13, 1106608
 1230.14, 1107159
 1230.15, 1107711
 1230.16, 1108256
 1230.17, 1108807
 1230.18, 1109359
 1230.19, 1109911
 1230.20, 1110462
 1230.21, 1111014
 1230.22, 1111566
 1230.23, 1112118
 1230.24, 1112670
 1230.25, 1113222
 1230.26, 1113774
 1230.27, 1114326
 1230.28, 1114878
 1230.29, 1115423
 1230.30, 1115976
 1230.31, 1116528
 1230.32, 1117080
 1230.33, 1117632
 1230.34, 1118185
 1230.35, 1118737
 1230.36, 1119290
 1230.37, 1119842
 1230.38, 1120395
 1230.39, 1120947
 1230.40, 1121500
 1230.41, 1122046
 1230.42, 1122599
 1230.43, 1123152
 1230.44, 1123705
 1230.45, 1124257
 1230.46, 1124810
 1230.47, 1125363
 1230.48, 1125916
 1230.49, 1126470
 1230.50, 1127023
 1230.51, 1127576
 1230.52, 1128129
 1230.53, 1128682
 1230.54, 1129229
 1230.55, 1129782
 1230.56, 1130336
 1230.57, 1130889
 1230.58, 1131443
 1230.59, 1131996
 1230.60, 1132550
 1230.61, 1133104
 1230.62, 1133657
 1230.63, 1134211
 1230.64, 1134765
 1230.65, 1135319
 1230.66, 1135866
 1230.67, 1136420
 1230.68, 1136974
 1230.69, 1137528
 1230.70, 1138082
 1230.71, 1138636
 1230.72, 1139190
 1230.73, 1139744
 1230.74, 1140299
 1230.75, 1140853
 1230.76, 1141407
 1230.77, 1141962
 1230.78, 1142516
 1230.79, 1143064
 1230.80, 1143618
 1230.81, 1144173
 1230.82, 1144728
 1230.83, 1145282
 1230.84, 1145837
 1230.85, 1146392
 1230.86, 1146947
 1230.87, 1147502
 1230.88, 1148057
 1230.89, 1148612
 1230.90, 1149167
 1230.91, 1149715
 1230.92, 1150270
 1230.93, 1150825
 1230.94, 1151380
 1230.95, 1151936
 1230.96, 1152491
 1230.97, 1153046
 1230.98, 1153602
 1230.99, 1154157
 1231.00, 1154719
 1231.01, 1155275
 1231.02, 1155830
 1231.03, 1156386
 1231.04, 1156935
 1231.05, 1157490
 1231.06, 1158046
 1231.07, 1158602
 1231.08, 1159158
 1231.09, 1159714
 1231.10, 1160270
 1231.11, 1160826
 1231.12, 1161382
 1231.13, 1161938
 1231.14, 1162494
 1231.15, 1163050
 1231.16, 1163600
 1231.17, 1164156
 1231.18, 1164712
 1231.19, 1165269
 1231.20, 1165825
 1231.21, 1166382
 1231.22, 1166938
 1231.23, 1167495
 1231.24, 1168051
 1231.25, 1168608
 1231.26, 1169165
 1231.27, 1169722
 1231.28, 1170278
 1231.29, 1170828
 1231.30, 1171385
 1231.31, 1171942
 1231.32, 1172499
 1231.33, 1173056
 1231.34, 1173613
 1231.35, 1174171
 1231.36, 1174728
 1231.37, 1175285
 1231.38, 1175842
 1231.39, 1176400
 1231.40, 1176957
 1231.41, 1177508
 1231.42, 1178065
 1231.43, 1178623
 1231.44, 1179180
 1231.45, 1179738
 1231.46, 1180295
 1231.47, 1180853
 1231.48, 1181411
 1231.49, 1181969
 1231.50, 1182526
 1231.51, 1183084
 1231.52, 1183642
 1231.53, 1184200
 1231.54, 1184751
 1231.55, 1185310
 1231.56, 1185868
 1231.57, 1186426
 1231.58, 1186984
 1231.59, 1187542
 1231.60, 1188101
 1231.61, 1188659
 1231.62, 1189217
 1231.63, 1189776
 1231.64, 1190334
 1231.65, 1190893
 1231.66, 1191445
 1231.67, 1192003
 1231.68, 1192562
 1231.69, 1193121
 1231.70, 1193680
 1231.71, 1194238
 1231.72, 1194797
 1231.73, 1195356
 1231.74, 1195915
 1231.75, 1196474
 1231.76, 1197033
 1231.77, 1197592
 1231.78, 1198152
 1231.79, 1198704
 1231.80, 1199263
 1231.81, 1199823
 1231.82, 1200382
 1231.83, 1200941
 1231.84, 1201501
 1231.85, 1202060
 1231.86, 1202620
 1231.87, 1203179
 1231.88, 1203739
 1231.89, 1204299
 1231.90, 1204858
 1231.91, 1205411
 1231.92, 1205971
 1231.93, 1206531
 1231.94, 1207091
 1231.95, 1207651
 1231.96, 1208211
 1231.97, 1208771
 1231.98, 1209331
 1231.99, 1209891
 1232.00, 1210458
 1232.01, 1211018
 1232.02, 1211579
 1232.03, 1212139
 1232.04, 1212693
 1232.05, 1213253
 1232.06, 1213813
 1232.07, 1214374
 1232.08, 1214935
 1232.09, 1215495
 1232.10, 1216056
 1232.11, 1216617
 1232.12, 1217177
 1232.13, 1217738
 1232.14, 1218299
 1232.15, 1218860
 1232.16, 1219414
 1232.17, 1219975
 1232.18, 1220536
 1232.19, 1221097
 1232.20, 1221658
 1232.21, 1222220
 1232.22, 1222781
 1232.23, 1223342
 1232.24, 1223903
 1232.25, 1224465
 1232.26, 1225026
 1232.27, 1225588
 1232.28, 1226149
 1232.29, 1226704
 1232.30, 1227266
 1232.31, 1227827
 1232.32, 1228389
 1232.33, 1228951
 1232.34, 1229513
 1232.35, 1230075
 1232.36, 1230636
 1232.37, 1231198
 1232.38, 1231760
 1232.39, 1232322
 1232.40, 1232885
 1232.41, 1233440
 1232.42, 1234002
 1232.43, 1234564
 1232.44, 1235127
 1232.45, 1235689
 1232.46, 1236251
 1232.47, 1236814
 1232.48, 1237376
 1232.49, 1237939
 1232.50, 1238501
 1232.51, 1239064
 1232.52, 1239627
 1232.53, 1240189
 1232.54, 1240745
 1232.55, 1241308
 1232.56, 1241871
 1232.57, 1242434
 1232.58, 1242997
 1232.59, 1243560
 1232.60, 1244123
 1232.61, 1244686
 1232.62, 1245249
 1232.63, 1245812
 1232.64, 1246375
 1232.65, 1246939
 1232.66, 1247495
 1232.67, 1248059
 1232.68, 1248622
 1232.69, 1249186
 1232.70, 1249749
 1232.71, 1250313
 1232.72, 1250876
 1232.73, 1251440
 1232.74, 1252004
 1232.75, 1252567
 1232.76, 1253131
 1232.77, 1253695
 1232.78, 1254259
 1232.79, 1254816
 1232.80, 1255380
 1232.81, 1255944
 1232.82, 1256508
 1232.83, 1257072
 1232.84, 1257636
 1232.85, 1258201
 1232.86, 1258765
 1232.87, 1259329
 1232.88, 1259894
 1232.89, 1260458
 1232.90, 1261023
 1232.91, 1261580
 1232.92, 1262145
 1232.93, 1262709
 1232.94, 1263274
 1232.95, 1263839
 1232.96, 1264404
 1232.97, 1264968
 1232.98, 1265533
 1232.99, 1266098
 1233.00, 1266670
 1233.01, 1267235
 1233.02, 1267800
 1233.03, 1268365
 1233.04, 1268923
 1233.05, 1269489
 1233.06, 1270054
 1233.07, 1270619
 1233.08, 1271184
 1233.09, 1271750
 1233.10, 1272315
 1233.11, 1272881
 1233.12, 1273446
 1233.13, 1274012
 1233.14, 1274577
 1233.15, 1275143
 1233.16, 1275702
 1233.17, 1276268
 1233.18, 1276833
 1233.19, 1277399
 1233.20, 1277965
 1233.21, 1278531
 1233.22, 1279097
 1233.23, 1279663
 1233.24, 1280229
 1233.25, 1280795
 1233.26, 1281362
 1233.27, 1281928
 1233.28, 1282494
 1233.29, 1283054
 1233.30, 1283620
 1233.31, 1284186
 1233.32, 1284753
 1233.33, 1285319
 1233.34, 1285886
 1233.35, 1286452
 1233.36, 1287019
 1233.37, 1287586
 1233.38, 1288153
 1233.39, 1288719
 1233.40, 1289286
 1233.41, 1289846
 1233.42, 1290413
 1233.43, 1290980
 1233.44, 1291547
 1233.45, 1292114
 1233.46, 1292681
 1233.47, 1293249
 1233.48, 1293816
 1233.49, 1294383
 1233.50, 1294950
 1233.51, 1295518
 1233.52, 1296085
 1233.53, 1296653
 1233.54, 1297213
 1233.55, 1297781
 1233.56, 1298348
 1233.57, 1298916
 1233.58, 1299484
 1233.59, 1300052
 1233.60, 1300619
 1233.61, 1301187
 1233.62, 1301755
 1233.63, 1302323
 1233.64, 1302891
 1233.65, 1303459
 1233.66, 1304020
 1233.67, 1304588
 1233.68, 1305157
 1233.69, 1305725
 1233.70, 1306293
 1233.71, 1306861
 1233.72, 1307430
 1233.73, 1307998
 1233.74, 1308567
 1233.75, 1309135
 1233.76, 1309704
 1233.77, 1310272
 1233.78, 1310841
 1233.79, 1311403
 1233.80, 1311972
 1233.81, 1312540
 1233.82, 1313109
 1233.83, 1313678
 1233.84, 1314247
 1233.85, 1314816
 1233.86, 1315385
 1233.87, 1315954
 1233.88, 1316523
 1233.89, 1317092
 1233.90, 1317662
 1233.91, 1318224
 1233.92, 1318793
 1233.93, 1319363
 1233.94, 1319932
 1233.95, 1320502
 1233.96, 1321071
 1233.97, 1321641
 1233.98, 1322210
 1233.99, 1322780
 1234.00, 1323356
 1234.01, 1323926
 1234.02, 1324496
 1234.03, 1325065
 1234.04, 1325628
 1234.05, 1326198
 1234.06, 1326768
 1234.07, 1327338
 1234.08, 1327908
 1234.09, 1328479
 1234.10, 1329049
 1234.11, 1329619
 1234.12, 1330189
 1234.13, 1330760
 1234.14, 1331330
 1234.15, 1331900
 1234.16, 1332464
 1234.17, 1333034
 1234.18, 1333605
 1234.19, 1334176
 1234.20, 1334746
 1234.21, 1335317
 1234.22, 1335888
 1234.23, 1336458
 1234.24, 1337029
 1234.25, 1337600
 1234.26, 1338171
 1234.27, 1338742
 1234.28, 1339313
 1234.29, 1339877
 1234.30, 1340448
 1234.31, 1341020
 1234.32, 1341591
 1234.33, 1342162
 1234.34, 1342733
 1234.35, 1343305
 1234.36, 1343876
 1234.37, 1344448
 1234.38, 1345019
 1234.39, 1345591
 1234.40, 1346162
 1234.41, 1346727
 1234.42, 1347299
 1234.43, 1347871
 1234.44, 1348442
 1234.45, 1349014
