Bureau of Reclamation Hydromet System
Rating Table Expansion
Station GCL - Grand Coulee Dam, WA
Parameter AF - Reservoir Storage - Acre-Feet
Table Description: October 1977 Table 
Units are: AF 
Dependent Variable: Forebay Elevation - Feet - Hourly Average
Interpolation Type: Storage from Linear Res Area 
Rating shift adjustments have NOT been applied to this table. 
Table Edit Date: 8-DEC-2006 15:17
Today's Date: 28-FEB-2013 15:46 


 BEGIN TABLE
 FT   ,AF   
 1210.98, 137320
 1210.99, 137786
 1211.00, 138255
 1211.01, 138722
 1211.02, 139188
 1211.03, 139655
 1211.04, 140116
 1211.05, 140583
 1211.06, 141050
 1211.07, 141517
 1211.08, 141984
 1211.09, 142451
 1211.10, 142918
 1211.11, 143385
 1211.12, 143852
 1211.13, 144319
 1211.14, 144786
 1211.15, 145253
 1211.16, 145715
 1211.17, 146182
 1211.18, 146649
 1211.19, 147117
 1211.20, 147584
 1211.21, 148052
 1211.22, 148519
 1211.23, 148986
 1211.24, 149454
 1211.25, 149922
 1211.26, 150389
 1211.27, 150857
 1211.28, 151325
 1211.29, 151787
 1211.30, 152254
 1211.31, 152722
 1211.32, 153190
 1211.33, 153658
 1211.34, 154126
 1211.35, 154594
 1211.36, 155062
 1211.37, 155530
 1211.38, 155998
 1211.39, 156466
 1211.40, 156934
 1211.41, 157397
 1211.42, 157865
 1211.43, 158333
 1211.44, 158802
 1211.45, 159270
 1211.46, 159739
 1211.47, 160207
 1211.48, 160675
 1211.49, 161144
 1211.50, 161613
 1211.51, 162081
 1211.52, 162550
 1211.53, 163018
 1211.54, 163481
 1211.55, 163950
 1211.56, 164419
 1211.57, 164888
 1211.58, 165357
 1211.59, 165826
 1211.60, 166295
 1211.61, 166763
 1211.62, 167233
 1211.63, 167702
 1211.64, 168171
 1211.65, 168640
 1211.66, 169103
 1211.67, 169572
 1211.68, 170042
 1211.69, 170511
 1211.70, 170980
 1211.71, 171450
 1211.72, 171919
 1211.73, 172389
 1211.74, 172858
 1211.75, 173328
 1211.76, 173797
 1211.77, 174267
 1211.78, 174736
 1211.79, 175200
 1211.80, 175670
 1211.81, 176140
 1211.82, 176610
 1211.83, 177080
 1211.84, 177549
 1211.85, 178019
 1211.86, 178489
 1211.87, 178959
 1211.88, 179429
 1211.89, 179899
 1211.90, 180369
 1211.91, 180834
 1211.92, 181304
 1211.93, 181774
 1211.94, 182245
 1211.95, 182715
 1211.96, 183185
 1211.97, 183656
 1211.98, 184126
 1211.99, 184597
 1212.00, 185068
 1212.01, 185539
 1212.02, 186009
 1212.03, 186480
 1212.04, 186945
 1212.05, 187415
 1212.06, 187886
 1212.07, 188357
 1212.08, 188828
 1212.09, 189299
 1212.10, 189769
 1212.11, 190240
 1212.12, 190711
 1212.13, 191182
 1212.14, 191653
 1212.15, 192124
 1212.16, 192590
 1212.17, 193061
 1212.18, 193532
 1212.19, 194003
 1212.20, 194475
 1212.21, 194946
 1212.22, 195417
 1212.23, 195889
 1212.24, 196360
 1212.25, 196832
 1212.26, 197303
 1212.27, 197775
 1212.28, 198246
 1212.29, 198712
 1212.30, 199184
 1212.31, 199656
 1212.32, 200127
 1212.33, 200599
 1212.34, 201071
 1212.35, 201543
 1212.36, 202015
 1212.37, 202487
 1212.38, 202959
 1212.39, 203431
 1212.40, 203903
 1212.41, 204369
 1212.42, 204841
 1212.43, 205313
 1212.44, 205786
 1212.45, 206258
 1212.46, 206730
 1212.47, 207202
 1212.48, 207675
 1212.49, 208147
 1212.50, 208620
 1212.51, 209092
 1212.52, 209565
 1212.53, 210037
 1212.54, 210504
 1212.55, 210977
 1212.56, 211449
 1212.57, 211922
 1212.58, 212395
 1212.59, 212868
 1212.60, 213340
 1212.61, 213813
 1212.62, 214286
 1212.63, 214759
 1212.64, 215232
 1212.65, 215705
 1212.66, 216173
 1212.67, 216646
 1212.68, 217119
 1212.69, 217592
 1212.70, 218065
 1212.71, 218538
 1212.72, 219012
 1212.73, 219485
 1212.74, 219958
 1212.75, 220432
 1212.76, 220905
 1212.77, 221379
 1212.78, 221852
 1212.79, 222320
 1212.80, 222794
 1212.81, 223267
 1212.82, 223741
 1212.83, 224215
 1212.84, 224689
 1212.85, 225162
 1212.86, 225636
 1212.87, 226110
 1212.88, 226584
 1212.89, 227058
 1212.90, 227532
 1212.91, 228000
 1212.92, 228474
 1212.93, 228949
 1212.94, 229423
 1212.95, 229897
 1212.96, 230371
 1212.97, 230845
 1212.98, 231320
 1212.99, 231794
 1213.00, 232270
 1213.01, 232744
 1213.02, 233219
 1213.03, 233693
 1213.04, 234162
 1213.05, 234637
 1213.06, 235111
 1213.07, 235586
 1213.08, 236061
 1213.09, 236536
 1213.10, 237010
 1213.11, 237485
 1213.12, 237960
 1213.13, 238435
 1213.14, 238910
 1213.15, 239385
 1213.16, 239854
 1213.17, 240329
 1213.18, 240804
 1213.19, 241279
 1213.20, 241754
 1213.21, 242230
 1213.22, 242705
 1213.23, 243180
 1213.24, 243656
 1213.25, 244131
 1213.26, 244606
 1213.27, 245082
 1213.28, 245557
 1213.29, 246027
 1213.30, 246503
 1213.31, 246978
 1213.32, 247454
 1213.33, 247930
 1213.34, 248405
 1213.35, 248881
 1213.36, 249357
 1213.37, 249833
 1213.38, 250308
 1213.39, 250784
 1213.40, 251260
 1213.41, 251731
 1213.42, 252207
 1213.43, 252683
 1213.44, 253159
 1213.45, 253635
 1213.46, 254111
 1213.47, 254587
 1213.48, 255064
 1213.49, 255540
 1213.50, 256016
 1213.51, 256493
 1213.52, 256969
 1213.53, 257446
 1213.54, 257916
 1213.55, 258393
 1213.56, 258869
 1213.57, 259346
 1213.58, 259823
 1213.59, 260299
 1213.60, 260776
 1213.61, 261253
 1213.62, 261730
 1213.63, 262206
 1213.64, 262683
 1213.65, 263160
 1213.66, 263631
 1213.67, 264108
 1213.68, 264586
 1213.69, 265063
 1213.70, 265540
 1213.71, 266017
 1213.72, 266494
 1213.73, 266971
 1213.74, 267449
 1213.75, 267926
 1213.76, 268403
 1213.77, 268881
 1213.78, 269358
 1213.79, 269830
 1213.80, 270307
 1213.81, 270785
 1213.82, 271262
 1213.83, 271740
 1213.84, 272218
 1213.85, 272695
 1213.86, 273173
 1213.87, 273651
 1213.88, 274129
 1213.89, 274607
 1213.90, 275085
 1213.91, 275557
 1213.92, 276035
 1213.93, 276513
 1213.94, 276991
 1213.95, 277469
 1213.96, 277947
 1213.97, 278425
 1213.98, 278903
 1213.99, 279382
 1214.00, 279861
 1214.01, 280339
 1214.02, 280818
 1214.03, 281296
 1214.04, 281769
 1214.05, 282247
 1214.06, 282726
 1214.07, 283204
 1214.08, 283683
 1214.09, 284162
 1214.10, 284640
 1214.11, 285119
 1214.12, 285598
 1214.13, 286077
 1214.14, 286555
 1214.15, 287034
 1214.16, 287507
 1214.17, 287986
 1214.18, 288465
 1214.19, 288944
 1214.20, 289424
 1214.21, 289903
 1214.22, 290382
 1214.23, 290861
 1214.24, 291340
 1214.25, 291820
 1214.26, 292299
 1214.27, 292778
 1214.28, 293258
 1214.29, 293731
 1214.30, 294211
 1214.31, 294690
 1214.32, 295170
 1214.33, 295649
