id,seriesid,name,value
239,176,t2,5/8/2017
240,176,count,2685
241,177,t1,1/1/2010
242,177,t2,5/8/2017
243,177,count,2685
244,178,t1,1/1/2010
245,178,t2,5/8/2017
246,178,count,2685
247,179,t1,1/1/2010
248,179,t2,5/8/2017
249,179,count,2685
250,180,t1,1/1/2010
251,180,t2,5/8/2017
252,180,count,2685
253,181,t1,1/1/2010
254,181,t2,5/8/2017
255,181,count,2685
256,182,t1,1/1/2010
257,182,t2,5/8/2017
258,182,count,2685
259,183,t1,1/1/2010
260,183,t2,5/8/2017
261,183,count,2685
262,184,t1,1/1/2010
263,184,t2,5/8/2017
264,184,count,2685
265,185,t1,1/1/2010
266,185,t2,5/8/2017
267,185,count,2685
268,186,t1,1/1/2010
269,186,t2,5/8/2017
270,186,count,2685
271,187,t1,1/1/2010
272,187,t2,5/8/2017
273,187,count,2685
274,188,t1,1/1/2010
275,188,t2,5/8/2017
276,188,count,2685
277,189,t1,1/1/2010
278,189,t2,5/8/2017
279,189,count,2685
280,190,t1,1/1/2010
281,190,t2,5/8/2017
282,190,count,2685
283,191,t1,1/1/2010
284,191,t2,5/8/2017
285,191,count,2685
286,192,t1,1/1/2010
287,192,t2,5/8/2017
288,192,count,2685
289,193,t1,1/1/2010
290,193,t2,5/8/2017
291,193,count,2685
292,194,t1,1/1/2010
293,194,t2,5/8/2017
294,194,count,2685
295,195,t1,1/1/2010
296,195,t2,5/8/2017
297,195,count,2685
298,196,t1,1/1/2010
299,196,t2,5/8/2017
300,196,count,2685
301,197,t1,1/1/2010
302,197,t2,5/8/2017
303,197,count,2685
304,198,t1,1/1/2010
305,198,t2,5/8/2017
306,198,count,2685
307,199,t1,1/1/2010
308,199,t2,5/8/2017
309,199,count,2685
310,200,t1,1/1/2010
311,200,t2,5/8/2017
312,200,count,2685
313,201,t1,1/1/2010
314,201,t2,5/8/2017
315,201,count,2685
316,202,t1,1/1/2010
317,202,t2,5/8/2017
318,202,count,2685
319,203,t1,1/1/2010
320,203,t2,5/8/2017
321,203,count,2685
322,204,t1,1/1/2010
323,204,t2,5/8/2017
324,204,count,2685
325,205,t1,1/1/2010
326,205,t2,5/8/2017
327,205,count,2685
328,206,t1,1/1/2010
329,206,t2,5/8/2017
330,206,count,2685
340,210,t1,1/1/2010
341,210,t2,5/8/2017
342,210,count,2685
343,211,t1,1/1/2010
344,211,t2,5/8/2017
345,211,count,2685
346,212,t1,1/1/2010
347,212,t2,5/8/2017
348,212,count,2685
349,213,t1,1/1/2010
350,213,t2,5/8/2017
351,213,count,2685
352,214,t1,1/1/2010
353,214,t2,5/8/2017
354,214,count,2685
355,215,t1,1/1/2010
356,215,t2,5/8/2017
357,215,count,2685
358,216,t1,1/1/2010
359,216,t2,5/8/2017
360,216,count,2685
361,217,t1,1/1/2010
362,217,t2,5/8/2017
363,217,count,2685
364,218,t1,1/1/2010
365,218,t2,5/8/2017
366,218,count,2685
367,219,t1,1/1/2010
368,219,t2,5/8/2017
369,219,count,2685
370,220,t1,1/1/2010
371,220,t2,5/8/2017
372,220,count,2685
373,221,t1,1/1/2010
374,221,t2,5/8/2017
375,221,count,2685
376,222,t1,1/1/2010
377,222,t2,5/8/2017
378,222,count,2685
379,223,t1,1/1/2010
380,223,t2,5/8/2017
381,223,count,2685
382,224,t1,1/1/2010
383,224,t2,5/8/2017
384,224,count,2685
385,225,t1,1/1/2010
386,225,t2,5/8/2017
387,225,count,2685
388,226,t1,1/1/2010
389,226,t2,5/8/2017
390,226,count,2685
391,227,t1,1/1/2010
392,227,t2,5/8/2017
393,227,count,2685
394,228,t1,1/1/2010
395,228,t2,5/8/2017
396,228,count,2685
397,229,t1,1/1/2010
398,229,t2,5/8/2017
399,229,count,2685
400,230,t1,1/1/2010
401,230,t2,5/8/2017
402,230,count,2685
406,232,t1,1/1/2010
407,232,t2,5/8/2017
408,232,count,2685
409,233,t1,1/1/2010
410,233,t2,5/8/2017
411,233,count,2685
412,234,t1,1/1/2010
413,234,t2,5/8/2017
414,234,count,2685
415,235,t1,1/1/2010
416,235,t2,5/8/2017
417,235,count,2685
418,236,t1,1/1/2010
419,236,t2,5/8/2017
420,236,count,2685
421,237,t1,1/1/2010
422,237,t2,5/8/2017
423,237,count,2685
424,238,t1,1/1/2010
425,238,t2,5/8/2017
426,238,count,2685
427,239,t1,1/1/2010
428,239,t2,5/8/2017
429,239,count,2685
433,241,t1,1/1/2010
434,241,t2,5/8/2017
435,241,count,2685
436,242,t1,1/1/2010
437,242,t2,5/8/2017
438,242,count,2685
439,243,t1,1/1/2010
440,243,t2,5/8/2017
441,243,count,2685
442,244,t1,1/1/2010
443,244,t2,5/8/2017
444,244,count,2685
445,245,t1,1/1/2010
446,245,t2,5/8/2017
447,245,count,2685
448,246,t1,1/1/2010
449,246,t2,5/8/2017
450,246,count,2685
451,247,t1,1/1/2010
452,247,t2,5/8/2017
453,247,count,2685
454,248,t1,1/1/2010
455,248,t2,5/8/2017
456,248,count,2685
457,249,t1,1/1/2010
458,249,t2,5/8/2017
459,249,count,2685
460,250,t1,1/1/2010
461,250,t2,5/8/2017
462,250,count,2685
463,251,t1,1/1/2010
464,251,t2,5/8/2017
465,251,count,2685
466,252,t1,1/1/2010
467,252,t2,5/8/2017
468,252,count,2685
469,253,t1,1/1/2010
470,253,t2,5/8/2017
471,253,count,2685
472,254,t1,1/1/2010
473,254,t2,5/8/2017
474,254,count,2685
475,255,t1,1/1/2010
476,255,t2,5/8/2017
477,255,count,2685
