A_ID,parentid,isfolder,sortorder,iconname,name,siteid,units,timeinterval,parameter,tablename,provider,connectionstring,expression,notes,enabled
1663,1650,0,1076,sum,efhw_ua,efhw,,Daily,ua,daily_efhw_ua,CalculationSeries,,"DailyAverage(instant_%site%_ws,92)",,1
1665,1650,0,1078,sum,efhw_wg,efhw,,Daily,wg,daily_efhw_wg,CalculationSeries,,DailyMax(instant_%site%_wg),,1
1661,1650,0,1074,sum,efhw_ta,efhw,,Daily,ta,daily_efhw_ta,CalculationSeries,,"DailyAverage(instant_%site%_tu,92)",,1
1654,1650,0,1067,sum,efhw_mm,efhw,,Daily,mm,daily_efhw_mm,CalculationSeries,,"DailyAverage(instant_%site%_obm,92)",,1
1658,1650,0,1071,sum,efhw_pp,efhw,,Daily,pp,daily_efhw_pp,CalculationSeries,,daily_%site%_pc-daily_%site%_pc[t-1],,1
1652,1650,0,1065,sum,efhw_etos,efhw,,Daily,etos,daily_efhw_etos,CalculationSeries,,"DailyEtAscePenmanMontieth(daily_%site%_mm,daily_%site%_mn,daily_%site%_mx,daily_%site%_ym,daily_%site%_wr,3.0,daily_%site%_sr,%site%.latitude,%site%.elevation, 0.34,900)",,1
1667,1650,0,1080,sum,efhw_ym,efhw,,Daily,ym,daily_efhw_ym,CalculationSeries,,"DailyAverage(instant_%site%_tp,92)",,1
1660,1650,0,1073,sum,efhw_sr,efhw,,Daily,sr,daily_efhw_sr,CalculationSeries,,"DailySum(instant_%site%_si,92)/4.0",,1
8896,8892,0,8896,sum,sawo_q,sawo,cfs,Irregular,q,instant_sawo_q,CalculationSeries,,"FileRatingTable(%site%_gh,""%site%.csv"")",,1
8600,8592,0,8600,,wcto_wf,wcto,degF,Irregular,wf,instant_wcto_wf,Series,,,,1
9091,9090,1,0,,instant,,,,,,,,,,0
1666,1650,0,1079,sum,efhw_wr,efhw,,Daily,wr,daily_efhw_wr,CalculationSeries,,"DailySum(instant_%site%_ws,92)/4.0",,1
17955,16182,0,1,,svpi_sd,svpi,,Daily,sd,daily_svpi_sd,Series,,,,1
1651,1650,0,1064,sum,efhw_et,efhw,,Daily,et,daily_efhw_et,CalculationSeries,,"DailyEtKimberlyPenman(daily_%site%_mm,daily_%site%_mn,daily_%site%_mx,daily_%site%_ym,daily_%site%_wr,daily_%site%_sr,%site%.latitude,%site%.elevation)",,1
15783,15779,0,1,,brbi_mm,brbi,,Daily,mm,daily_brbi_mm,Series,,,,1
151,132,0,0,,agko_ob,agko,,Irregular,ob,instant_agko_ob,Series,,,,1
152,132,0,1,,agko_obm,agko,,Irregular,obm,instant_agko_obm,Series,,,,1
153,132,0,2,,agko_obx,agko,,Irregular,obx,instant_agko_obx,Series,,,,1
1664,1650,0,1077,sum,efhw_ud,efhw,,Daily,ud,daily_efhw_ud,CalculationSeries,,DailyAzimuth(instant_%site%_wd),,1
154,132,0,3,,agko_obn,agko,,Irregular,obn,instant_agko_obn,Series,,,,1
19011,18989,0,1,,ochews_vw15,ochews,,Irregular,vw15,instant_ochews_vw15,Series,,,,1
